OA11CD,Total,Main language is English,Main language is not English: Can speak English very well,Main language is not English: Can speak English well,Main language is not English: Cannot speak English well,Main language is not English: Cannot speak English
E00016886,331,287,20,17,6,1
E00016893,353,318,14,16,4,1
E00016885,269,239,14,10,6,0
E00016887,213,189,10,10,4,0
E00016889,276,237,15,17,7,0
E00016890,273,202,30,36,5,0
E00016895,269,242,12,11,4,0
E00016159,259,233,14,11,1,0
E00016173,288,264,12,9,3,0
E00016176,287,255,23,7,2,0
E00016184,236,190,23,18,4,1
E00016186,293,245,25,15,6,2
E00016188,268,242,12,8,5,1
E00016164,351,304,19,20,6,2
E00016170,302,224,29,28,20,1
E00016175,303,265,16,9,10,3
E00016181,319,284,20,14,1,0
E00016182,316,291,20,4,1,0
E00016162,248,229,15,3,1,0
E00016198,262,202,27,23,10,0
E00016202,287,240,10,21,14,2
E00016205,252,235,13,4,0,0
E00016208,267,226,15,21,4,1
E00016199,292,236,22,19,12,3
E00016200,189,134,21,22,11,1
E00016201,158,109,14,23,10,2
E00016203,291,243,11,20,13,4
E00016207,353,307,19,19,6,2
E00016163,299,247,15,19,13,5
E00016165,259,210,25,17,6,1
E00016168,171,156,12,3,0,0
E00016169,278,245,18,10,5,0
E00016172,228,162,28,22,10,6
E00016177,240,213,11,8,6,2
E00016219,251,223,16,10,1,1
E00016220,257,225,20,10,1,1
E00016221,295,245,32,14,4,0
E00016223,215,183,13,12,7,0
E00016225,252,204,25,17,4,2
E00016255,220,192,16,10,2,0
E00016218,235,188,30,10,6,1
E00016222,341,272,22,36,11,0
E00016224,319,269,37,11,2,0
E00016226,310,269,24,12,4,1
E00016227,355,286,39,22,7,1
E00016228,278,243,24,8,3,0
E00016229,405,345,32,19,7,2
E00016230,332,302,17,9,4,0
E00016231,303,245,21,24,9,4
E00016232,290,225,30,27,8,0
E00016233,343,302,7,22,10,2
E00016212,312,278,21,10,3,0
E00016249,241,211,9,15,6,0
E00016254,317,286,21,3,7,0
E00173952,235,205,13,9,5,3
E00174016,232,196,18,13,4,1
E00174022,202,174,15,10,3,0
E00174008,204,160,29,14,1,0
E00174010,198,134,47,13,4,0
E00174013,217,161,41,13,2,0
E00174015,176,141,29,5,1,0
E00174025,209,147,41,19,2,0
E00174027,152,115,29,6,2,0
E00016178,252,221,18,6,7,0
E00016179,273,243,18,10,2,0
E00016180,245,229,10,5,1,0
E00016187,337,315,16,3,1,2
E00016189,284,272,10,1,1,0
E00016166,178,165,9,4,0,0
E00016167,281,260,15,6,0,0
E00016171,291,246,28,14,3,0
E00016174,234,217,13,2,0,2
E00016204,259,233,13,7,4,2
E00016206,251,233,8,7,3,0
E00016160,284,251,20,9,4,0
E00016183,247,219,18,8,1,1
E00016185,221,202,12,7,0,0
E00016191,240,227,9,4,0,0
E00016195,243,224,17,1,1,0
E00016197,255,192,33,26,4,0
E00016161,320,285,15,14,5,1
E00016190,234,200,12,11,10,1
E00016192,294,230,32,22,9,1
E00016193,235,170,36,27,0,2
E00016194,246,195,25,18,6,2
E00016196,359,316,18,20,4,1
E00016905,286,253,17,13,3,0
E00016907,303,271,13,13,6,0
E00016908,215,187,11,6,9,2
E00016910,298,231,32,28,5,2
E00016912,211,179,12,10,9,1
E00016909,376,285,44,13,28,6
E00016911,414,324,34,28,24,4
E00016913,426,349,33,18,23,3
E00016914,308,255,28,21,4,0
E00016896,283,234,28,19,2,0
E00016898,266,226,24,11,5,0
E00016900,308,273,21,12,0,2
E00016901,189,159,11,16,1,2
E00016904,241,189,17,28,6,1
E00016906,243,190,18,31,4,0
E00016883,342,290,24,12,13,3
E00016888,312,267,20,20,5,0
E00016891,378,323,25,20,8,2
E00016892,294,254,25,10,1,4
E00016894,346,307,28,9,2,0
E00016880,330,283,21,20,4,2
E00016897,389,308,43,23,14,1
E00016899,288,211,35,30,11,1
E00016902,294,233,27,24,9,1
E00016903,326,271,33,13,5,4
E00016564,329,264,21,35,9,0
E00016567,203,134,31,26,10,2
E00016569,303,236,31,26,9,1
E00016571,300,241,25,27,7,0
E00173700,389,237,46,72,12,22
E00173702,413,246,41,86,14,26
E00016558,236,204,17,14,1,0
E00016561,260,229,21,8,2,0
E00016566,274,245,14,11,4,0
E00016568,299,263,21,9,5,1
E00016572,308,275,22,9,1,1
E00016575,267,242,20,4,1,0
E00016557,194,158,13,16,7,0
E00016559,325,232,33,43,17,0
E00016560,326,240,35,33,16,2
E00016562,332,279,26,16,10,1
E00016563,290,236,31,18,5,0
E00016565,364,293,32,25,10,4
E00016544,313,262,23,14,13,1
E00016574,316,278,18,11,9,0
E00016576,299,258,24,12,4,1
E00016577,353,306,26,16,4,1
E00016578,257,220,18,12,6,1
E00016635,365,266,43,36,15,5
E00016640,295,269,9,7,8,2
E00016641,388,301,36,33,16,2
E00016642,380,294,32,38,12,4
E00016643,292,213,29,27,20,3
E00016630,318,272,25,10,9,2
E00016647,370,304,26,20,16,4
E00016648,318,255,24,31,7,1
E00016649,308,239,31,21,16,1
E00016651,335,284,17,23,10,1
E00016629,367,282,36,28,21,0
E00016650,282,255,18,8,1,0
E00016652,265,217,21,11,14,2
E00016654,250,186,23,28,12,1
E00016657,256,210,17,20,8,1
E00016633,244,171,27,34,9,3
E00016636,224,137,56,30,1,0
E00016638,153,88,31,17,13,4
E00016639,451,384,33,17,15,2
E00016674,259,221,16,16,5,1
E00174018,356,220,73,55,8,0
E00174019,160,127,11,18,4,0
E00174021,100,57,23,10,10,0
E00016628,320,251,40,22,6,1
E00016637,443,321,37,54,30,1
E00174024,240,176,30,30,4,0
E00174029,242,191,27,15,5,4
E00174030,209,146,23,19,17,4
E00016644,446,318,49,52,24,3
E00016645,367,268,32,29,31,7
E00016646,381,282,46,32,19,2
E00016584,591,387,113,60,29,2
E00016596,303,259,27,10,5,2
E00016598,478,383,44,29,21,1
E00016623,345,291,36,10,8,0
E00174036,194,162,16,13,2,1
E00174038,411,272,37,50,49,3
E00016585,259,188,29,34,6,2
E00016593,487,418,31,34,3,1
E00016600,367,355,7,4,0,1
E00016602,326,312,7,6,1,0
E00016624,248,208,21,13,4,2
E00016625,307,277,17,11,2,0
E00016587,420,381,19,13,4,3
E00016594,323,272,28,17,4,2
E00016605,396,326,40,25,2,3
E00016608,197,178,5,7,6,1
E00016626,327,301,11,11,4,0
E00016589,285,265,8,8,4,0
E00016595,247,194,28,19,6,0
E00016597,225,190,14,9,10,2
E00016599,278,243,17,16,2,0
E00016601,315,236,31,25,19,4
E00016607,189,160,15,8,6,0
E00016573,304,268,20,9,4,3
E00016579,314,230,38,30,16,0
E00016580,365,319,26,17,2,1
E00016581,444,347,32,44,17,4
E00016582,421,363,32,20,6,0
E00016546,314,231,29,40,13,1
E00016547,417,373,26,8,5,5
E00016548,327,280,24,14,9,0
E00016550,314,252,24,24,13,1
E00016583,258,237,17,2,2,0
E00016542,350,280,25,31,12,2
E00016552,306,247,24,26,8,1
E00016554,289,226,27,18,18,0
E00016555,362,322,17,13,6,4
E00016556,335,255,45,24,11,0
E00016543,333,305,17,7,4,0
E00016545,315,237,32,27,16,3
E00016549,367,308,31,18,7,3
E00016551,411,360,28,13,10,0
E00016553,336,272,38,20,5,1
E00016335,204,179,10,8,6,1
E00016336,342,282,28,18,14,0
E00016339,303,274,20,8,1,0
E00016340,312,281,17,6,8,0
E00016341,285,262,9,6,7,1
E00016309,293,247,32,10,3,1
E00016323,248,209,21,17,1,0
E00016324,399,324,39,27,9,0
E00016325,290,214,42,26,7,1
E00016327,280,232,28,13,7,0
E00016326,287,255,16,8,8,0
E00016329,384,326,25,30,3,0
E00016332,378,323,17,30,6,2
E00016333,268,240,12,12,3,1
E00016337,323,289,11,12,11,0
E00016311,297,263,11,15,8,0
E00016328,251,234,10,7,0,0
E00016330,241,204,11,21,5,0
E00016331,365,284,38,33,9,1
E00016334,457,380,35,27,15,0
E00016613,384,326,35,15,6,2
E00016614,377,301,27,33,14,2
E00016615,294,238,22,25,9,0
E00016618,248,210,20,15,3,0
E00016621,231,211,9,7,4,0
E00016609,272,246,10,10,1,5
E00016617,329,298,12,13,6,0
E00016619,305,292,8,3,1,1
E00016620,317,287,13,12,5,0
E00016622,248,227,9,9,1,2
E00016588,360,300,43,13,3,1
E00016592,346,289,31,18,6,2
E00016604,195,168,7,17,2,1
E00016611,188,165,11,7,5,0
E00016612,201,186,8,4,2,1
E00016616,245,178,30,24,12,1
E00016590,360,314,26,16,2,2
E00016591,306,289,8,6,3,0
E00016603,473,445,16,10,0,2
E00016606,371,334,23,10,4,0
E00016610,292,251,18,16,6,1
E00016653,269,238,15,11,3,2
E00016655,301,213,38,32,17,1
E00016656,318,246,37,22,12,1
E00016662,256,229,10,15,2,0
E00016664,334,277,34,19,4,0
E00016631,308,249,30,18,10,1
E00016658,211,155,17,28,9,2
E00016659,226,197,12,8,8,1
E00016660,325,284,20,17,3,1
E00016663,349,275,45,19,10,0
E00016632,304,261,22,17,4,0
E00016666,277,233,24,14,5,1
E00016667,401,344,20,18,16,3
E00016669,262,200,28,25,7,2
E00016673,347,305,17,14,11,0
E00016668,229,202,15,7,5,0
E00016670,259,227,17,11,4,0
E00016671,154,134,6,11,3,0
E00016672,340,266,28,31,15,0
E00173708,143,104,23,14,2,0
E00173710,287,243,21,18,4,1
E00016661,284,254,14,10,6,0
E00173936,244,204,17,18,5,0
E00173937,195,154,28,11,2,0
E00173938,286,225,30,21,9,1
E00174035,198,157,26,14,1,0
E00016796,361,314,21,17,9,0
E00016799,366,292,31,33,10,0
E00016804,410,309,34,47,17,3
E00016805,350,276,24,29,19,2
E00016806,256,212,29,13,2,0
E00016781,253,224,15,10,2,2
E00016793,261,223,15,18,5,0
E00016794,217,181,9,19,7,1
E00016801,223,189,12,12,8,2
E00016803,240,195,22,16,6,1
E00016808,225,182,17,18,7,1
E00016813,293,238,34,17,2,2
E00016814,301,249,22,21,8,1
E00016815,265,204,21,27,11,2
E00016818,292,256,11,21,3,1
E00016819,271,225,15,20,11,0
E00016778,351,299,25,18,6,3
E00016788,271,241,10,18,2,0
E00016791,300,257,22,13,6,2
E00016800,234,187,11,29,6,1
E00016820,223,158,28,24,11,2
E00016823,250,219,11,14,5,1
E00016300,308,256,21,19,11,1
E00016310,226,204,10,10,2,0
E00016312,347,300,24,17,6,0
E00016343,345,318,15,5,6,1
E00016344,419,336,34,39,9,1
E00016301,360,299,30,26,4,1
E00016302,263,227,19,11,6,0
E00016316,311,285,13,12,1,0
E00016338,361,322,28,6,4,1
E00016342,270,243,11,12,2,2
E00016303,368,338,15,12,3,0
E00016304,321,297,19,3,2,0
E00016313,208,172,22,13,0,1
E00016318,267,251,12,3,1,0
E00016345,247,229,14,4,0,0
E00016307,313,250,26,23,14,0
E00016314,283,243,17,16,7,0
E00016319,228,205,11,8,3,1
E00016321,308,233,39,27,7,2
E00016322,353,316,12,15,9,1
E00016305,255,228,7,16,4,0
E00016306,333,307,13,6,7,0
E00016308,300,257,18,8,16,1
E00016315,412,366,33,7,5,1
E00016317,269,212,21,24,10,2
E00016320,268,220,26,19,2,1
E00016779,277,238,21,8,7,3
E00016789,358,332,11,12,3,0
E00016797,371,317,25,23,6,0
E00016798,378,309,30,22,16,1
E00016821,383,354,13,11,4,1
E00016780,390,324,31,24,11,0
E00016782,408,322,36,29,19,2
E00016790,157,125,15,12,5,0
E00016792,318,206,44,53,12,3
E00016795,264,228,20,9,7,0
E00016783,314,272,23,11,8,0
E00016802,354,303,19,22,9,1
E00016807,379,316,30,27,6,0
E00016809,312,273,25,9,5,0
E00016810,403,322,28,39,14,0
E00016784,264,230,20,9,3,2
E00016811,304,248,23,21,11,1
E00016812,288,242,20,18,7,1
E00016816,216,182,9,16,6,3
E00016817,286,235,24,15,12,0
E00016785,196,162,10,19,5,0
E00016786,238,212,8,11,4,3
E00016787,422,308,30,62,18,4
E00016822,275,208,23,31,12,1
E00016824,246,180,24,24,15,3
E00016445,289,256,23,5,2,3
E00016448,320,299,14,4,3,0
E00016452,296,268,19,6,3,0
E00016454,249,226,11,5,5,2
E00016455,227,212,8,4,3,0
E00016446,326,295,18,7,4,2
E00016453,223,188,23,9,2,1
E00016456,266,236,19,9,1,1
E00016457,249,198,29,20,2,0
E00016462,262,229,26,5,2,0
E00173944,240,184,23,21,8,4
E00173945,239,208,13,13,4,1
E00016444,300,266,15,12,7,0
E00016484,348,310,20,13,5,0
E00016485,236,196,17,17,5,1
E00016488,314,275,22,13,4,0
E00016489,504,373,30,71,17,13
E00016443,333,317,11,4,1,0
E00016483,231,209,11,8,3,0
E00016486,367,321,24,19,3,0
E00016487,258,236,15,4,3,0
E00016491,237,219,9,6,2,1
E00016449,248,213,18,9,8,0
E00016450,226,175,29,16,6,0
E00016451,305,254,30,16,5,0
E00016490,264,239,12,12,0,1
E00016492,240,211,9,19,1,0
E00016281,331,281,22,15,12,1
E00016290,291,245,20,12,11,3
E00016292,289,245,18,14,9,3
E00016293,340,303,17,13,6,1
E00016295,327,287,15,17,8,0
E00016258,353,322,21,4,6,0
E00016259,297,256,25,5,9,2
E00016298,409,354,25,23,7,0
E00016299,382,323,31,18,9,1
E00016274,296,260,20,13,3,0
E00016276,363,317,19,21,4,2
E00016277,320,269,25,18,7,1
E00016278,263,232,21,8,2,0
E00016285,245,211,14,11,7,2
E00016256,305,268,13,7,13,4
E00016284,276,249,10,14,2,1
E00016286,371,320,20,16,13,2
E00016296,317,278,11,19,8,1
E00016297,313,273,15,16,8,1
E00016275,374,298,27,35,13,1
E00016279,308,241,24,21,21,1
E00016280,270,239,11,14,6,0
E00016283,330,285,23,14,7,1
E00016287,302,251,17,24,8,2
E00016513,313,259,23,19,8,4
E00016514,208,182,9,12,4,1
E00016515,319,279,24,13,2,1
E00016516,283,241,23,13,6,0
E00016519,226,203,17,3,2,1
E00016521,236,205,9,13,9,0
E00016493,350,297,21,23,8,1
E00016499,278,216,27,25,10,0
E00016502,265,239,9,15,2,0
E00016503,175,156,6,10,2,1
E00016507,231,194,14,17,6,0
E00016540,293,242,21,19,9,2
E00016498,552,480,32,23,15,2
E00016500,271,235,12,15,8,1
E00016505,298,254,17,24,3,0
E00016541,348,295,21,19,13,0
E00016494,309,265,22,20,1,1
E00016495,191,159,16,15,1,0
E00016501,401,338,21,35,7,0
E00016508,338,314,10,13,1,0
E00016511,336,291,24,19,2,0
E00016504,313,289,14,4,6,0
E00016506,336,291,22,20,3,0
E00016509,387,322,24,27,14,0
E00016510,254,240,8,3,2,1
E00016512,319,276,15,19,9,0
E00016750,261,232,13,10,6,0
E00016752,337,298,18,11,10,0
E00016753,253,235,12,5,1,0
E00016758,292,271,4,16,1,0
E00016763,304,282,11,9,0,2
E00016738,412,340,33,35,4,0
E00016739,290,273,8,6,3,0
E00016740,338,272,21,38,7,0
E00016749,301,268,18,9,5,1
E00016755,395,315,26,35,18,1
E00016745,379,323,33,14,9,0
E00016746,332,306,14,7,5,0
E00016751,292,256,21,14,1,0
E00016754,281,243,23,10,5,0
E00016757,240,219,9,10,2,0
E00016732,330,269,33,19,9,0
E00016735,338,287,26,19,4,2
E00016741,258,235,13,5,4,1
E00016742,294,257,16,17,4,0
E00016733,305,274,21,5,5,0
E00016734,258,231,18,5,3,1
E00016743,280,250,20,6,4,0
E00016744,336,300,19,13,4,0
E00016747,239,215,6,14,4,0
E00016261,358,296,28,25,8,1
E00016282,338,296,18,19,3,2
E00016288,417,340,16,38,23,0
E00016289,336,284,26,18,8,0
E00016294,335,297,16,16,4,2
E00016260,342,310,20,8,4,0
E00016262,253,217,16,17,3,0
E00016266,350,304,28,11,7,0
E00016267,269,213,32,12,12,0
E00016271,385,331,22,25,7,0
E00016257,424,375,31,12,6,0
E00016263,222,204,5,7,5,1
E00016265,424,348,37,24,12,3
E00016268,448,360,35,31,20,2
E00016291,347,298,20,18,8,3
E00016264,291,247,16,21,7,0
E00016269,339,306,11,15,6,1
E00016270,290,245,17,21,7,0
E00016272,341,270,19,33,17,2
E00016273,398,345,24,23,6,0
E00016930,558,473,39,25,19,2
E00016946,391,350,21,15,5,0
E00016952,267,230,12,17,7,1
E00016964,261,240,7,10,3,1
E00016929,256,233,10,9,4,0
E00016931,272,232,22,15,3,0
E00016932,275,239,20,11,4,1
E00016954,254,220,20,10,4,0
E00016961,288,262,8,9,9,0
E00016933,453,393,29,24,6,1
E00016953,234,215,8,5,6,0
E00016957,277,250,9,13,4,1
E00016960,234,200,9,15,10,0
E00016966,191,168,14,8,0,1
E00016940,273,202,37,21,13,0
E00016941,365,336,15,8,5,1
E00016942,254,217,22,11,4,0
E00016943,204,177,14,13,0,0
E00016944,309,243,24,28,11,3
E00016945,184,157,12,15,0,0
E00016728,240,195,18,18,7,2
E00016764,266,237,13,10,3,3
E00016766,354,300,20,26,8,0
E00016768,253,202,22,23,4,2
E00016772,329,295,16,12,5,1
E00016737,253,226,19,6,1,1
E00016748,239,204,14,11,8,2
E00016756,260,205,24,23,6,2
E00016760,266,212,21,20,12,1
E00173704,225,182,22,15,6,0
E00173705,127,103,5,16,3,0
E00173707,115,101,8,6,0,0
E00016729,241,225,6,8,1,1
E00016730,317,272,18,18,8,1
E00016759,312,289,11,4,8,0
E00016761,310,283,14,7,6,0
E00016762,293,244,21,18,6,4
E00016765,213,184,15,9,4,1
E00016767,252,229,12,10,1,0
E00016770,141,118,13,5,3,2
E00016771,363,331,24,4,3,1
E00016774,343,301,22,14,5,1
E00016777,350,326,14,7,1,2
E00016731,297,255,22,13,5,2
E00016769,338,294,17,16,10,1
E00016773,259,214,22,18,5,0
E00016775,239,184,34,13,7,1
E00016776,307,267,21,14,3,2
E00016460,316,263,28,18,6,1
E00016463,479,341,64,44,26,4
E00016467,303,261,25,15,2,0
E00016469,289,233,33,18,5,0
E00016471,208,159,20,17,12,0
E00016472,353,251,49,37,16,0
E00016447,279,231,21,17,7,3
E00016458,300,260,20,15,5,0
E00016459,216,203,7,4,2,0
E00016464,276,233,17,18,8,0
E00016465,273,238,17,10,7,1
E00016466,258,238,12,6,1,1
E00016475,199,164,13,10,10,2
E00016476,280,240,21,12,7,0
E00016478,172,147,9,13,2,1
E00016479,240,199,28,7,5,1
E00016480,276,231,21,16,8,0
E00016482,241,188,30,18,4,1
E00016468,206,195,6,5,0,0
E00016470,222,207,10,2,3,0
E00016473,287,256,9,11,10,1
E00016474,232,206,15,10,1,0
E00016477,273,244,13,13,2,1
E00016481,294,197,56,26,14,1
E00016126,302,276,13,7,5,1
E00016127,403,369,11,15,8,0
E00016131,301,259,15,15,12,0
E00016134,249,234,5,7,2,1
E00016140,251,224,9,15,3,0
E00016118,369,326,20,13,10,0
E00016154,259,230,14,13,1,1
E00016155,358,264,29,34,31,0
E00016156,294,259,15,11,9,0
E00016157,335,292,16,20,7,0
E00016112,294,254,21,11,8,0
E00016119,316,287,17,8,4,0
E00016121,249,201,21,17,9,1
E00016123,313,287,10,11,5,0
E00016158,302,272,11,13,5,1
E00016113,377,332,19,19,7,0
E00016120,310,280,10,18,2,0
E00016122,329,293,19,10,5,2
E00016124,283,251,12,12,7,1
E00016125,313,264,22,18,9,0
E00016114,261,229,14,11,6,1
E00016128,329,293,21,12,3,0
E00016130,319,290,10,15,4,0
E00016133,327,292,18,13,4,0
E00016135,317,264,25,13,12,3
E00016948,396,331,25,25,12,3
E00016949,329,263,27,30,8,1
E00016951,327,261,29,27,10,0
E00016955,313,266,21,18,7,1
E00016956,272,248,7,9,5,3
E00016950,298,237,23,23,15,0
E00016967,299,235,22,30,11,1
E00016968,276,230,15,20,10,1
E00016969,250,206,20,16,6,2
E00016971,278,250,10,14,3,1
E00016928,396,344,27,15,9,1
E00016947,299,284,8,6,1,0
E00016958,335,276,21,23,14,1
E00016963,308,257,17,27,6,1
E00016937,391,353,17,14,7,0
E00016959,295,254,16,16,8,1
E00016962,406,339,24,22,18,3
E00016965,301,233,26,27,12,3
E00016970,356,313,14,26,3,0
E00016934,355,285,30,18,19,3
E00016935,395,343,24,19,9,0
E00016936,343,297,23,15,7,1
E00016938,304,249,17,24,11,3
E00016939,290,246,19,13,12,0
E00016496,246,203,17,20,5,1
E00016517,227,208,10,6,3,0
E00016518,271,247,8,7,8,1
E00016523,233,197,17,10,9,0
E00016524,316,283,16,13,4,0
E00016525,244,208,14,10,9,3
E00016497,252,207,23,15,7,0
E00016527,221,171,22,19,7,2
E00016528,205,156,32,15,2,0
E00016531,318,276,20,14,8,0
E00016532,205,158,28,14,5,0
E00016535,231,187,23,15,5,1
E00016520,252,229,9,8,5,1
E00016522,263,246,6,8,3,0
E00016526,280,241,20,16,2,1
E00016529,255,229,14,6,5,1
E00016530,295,262,14,14,4,1
E00016533,306,260,23,18,2,3
E00016534,291,252,19,14,5,1
E00016536,297,252,20,16,7,2
E00016537,276,246,11,12,7,0
E00016538,326,284,25,13,4,0
E00016539,311,272,16,20,2,1
E00016830,336,307,11,9,8,1
E00016839,238,199,24,11,4,0
E00016845,294,271,16,7,0,0
E00016872,347,302,28,12,5,0
E00016873,283,257,12,12,2,0
E00016838,268,224,17,14,10,3
E00016840,322,278,21,14,9,0
E00016847,242,215,16,6,5,0
E00016852,208,183,13,10,2,0
E00016858,228,205,8,8,6,1
E00016874,199,195,1,3,0,0
E00016826,294,249,22,15,8,0
E00016831,263,231,19,10,2,1
E00016832,234,210,11,8,3,2
E00016833,317,286,15,13,3,0
E00016875,248,211,18,16,2,1
E00016828,229,206,10,11,2,0
E00016850,203,183,11,6,3,0
E00016854,254,222,12,11,9,0
E00016855,196,172,10,11,2,1
E00016857,253,223,18,10,2,0
E00016878,255,208,20,19,8,0
E00016827,327,281,19,16,8,3
E00016834,301,268,9,15,8,1
E00016842,248,213,16,14,4,1
E00016856,324,240,51,27,6,0
E00016876,181,160,7,8,5,1
E00016877,189,172,9,3,5,0
E00016115,289,248,19,9,12,1
E00016136,304,258,20,13,12,1
E00016137,375,329,20,19,7,0
E00016138,309,269,16,16,8,0
E00016139,316,275,18,17,5,1
E00016116,299,256,29,11,3,0
E00016129,278,224,23,20,8,3
E00016142,318,270,16,18,12,2
E00016144,232,207,14,10,1,0
E00016145,306,268,16,15,7,0
E00016150,301,270,8,18,4,1
E00016117,289,252,10,20,6,1
E00016132,255,224,12,14,5,0
E00016143,283,266,9,6,1,1
E00016147,310,261,22,20,7,0
E00016153,253,232,4,14,3,0
E00016141,269,223,21,17,6,2
E00016146,248,222,13,9,4,0
E00016148,290,255,10,17,7,1
E00016149,256,200,16,27,13,0
E00016151,260,226,15,11,7,1
E00016152,227,186,24,12,5,0
E00016843,233,198,21,10,4,0
E00016863,363,318,18,17,7,3
E00016868,233,207,11,8,6,1
E00016870,306,264,22,19,1,0
E00016871,250,236,9,4,1,0
E00016848,245,233,11,0,1,0
E00016859,359,282,41,28,5,3
E00016861,451,321,67,55,8,0
E00016862,313,220,52,39,2,0
E00016866,343,235,51,54,3,0
E00016829,246,214,22,7,3,0
E00016851,295,265,16,11,3,0
E00016860,332,267,24,32,8,1
E00016864,303,266,18,15,3,1
E00016867,242,215,14,9,4,0
E00016869,211,193,8,9,1,0
E00016835,315,280,21,9,4,1
E00016837,252,210,12,16,11,3
E00016846,290,262,15,9,4,0
E00016849,222,136,40,43,3,0
E00016865,368,322,19,24,3,0
E00016825,259,215,16,20,6,2
E00016836,301,278,12,5,4,2
E00016841,317,277,15,11,12,2
E00016844,255,239,10,4,1,1
E00016853,202,179,10,9,4,0
E00016350,344,317,15,9,2,1
