name,points,connection_type,kW,cost,address,postcode,operator,website,email,updated,lon,lat
Hillbrow Road,NA,Type 2 (Socket Only),3.7,NA,"Hillbrow Road, Bromley",BR1 4JL,Chargemaster,NA,NA,2020-06-25T10:00:00Z,-4.1799999999999997e-4,51.417217
Hillbrow Road,NA,Type 2 (Socket Only),3.7,NA,"Hillbrow Road, Bromley",BR1 4JL,Chargemaster,NA,NA,2020-06-25T10:00:00Z,-4.1799999999999997e-4,51.417217
Juno Way,NA,Type 2 (Socket Only),7,NA,"Juno Way, London",SE14 5RW,Chargemaster,NA,NA,2020-06-25T10:00:00Z,-0.044181000000000005,51.48140000000001
Juno Way,NA,Type 2 (Socket Only),22,NA,"Juno Way, London",SE14 5RW,Chargemaster,NA,NA,2020-06-25T10:00:00Z,-0.044181000000000005,51.48140000000001
Barratt Homes-Catford Green,6,Type 2 (Socket Only),3,1,"Dempsey Court, Adenmore Road, London",SE6 4BS,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2020-01-13T21:11:00Z,-0.025813,51.444492
Kellerton Road,3,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"4 Kellerton Road, London",SE13 5RD,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2020-01-10T09:49:00Z,5.18e-4,51.454526
Kellerton Road,3,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"4 Kellerton Road, London",SE13 5RD,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2020-01-10T09:49:00Z,5.18e-4,51.454526
Kellerton Road,3,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"4 Kellerton Road, London",SE13 5RD,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2020-01-10T09:49:00Z,5.18e-4,51.454526
Kellerton Road,3,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"4 Kellerton Road, London",SE13 5RD,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2020-01-10T09:49:00Z,5.18e-4,51.454526
Longton Grove,2,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"Opposite 95 Longton Grove, London",SE26 6QQ,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2020-01-10T09:48:00Z,-0.065068,51.427785
Longton Grove,2,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"Opposite 95 Longton Grove, London",SE26 6QQ,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2020-01-10T09:48:00Z,-0.065068,51.427785
Longton Grove,2,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"Opposite 95 Longton Grove, London",SE26 6QQ,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2020-01-10T09:48:00Z,-0.065068,51.427785
Mayow Road,2,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"1 Mayow Road, London",SE23 2XR,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2020-01-10T09:44:00Z,-0.04660999999999999,51.43488899999999
Mayow Road,2,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"1 Mayow Road, London",SE23 2XR,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2020-01-10T09:44:00Z,-0.04660999999999999,51.43488899999999
Mayow Road,2,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"1 Mayow Road, London",SE23 2XR,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2020-01-10T09:44:00Z,-0.04660999999999999,51.43488899999999
Mayow Road,2,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"1 Mayow Road, London",SE23 2XR,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2020-01-10T09:44:00Z,-0.04660999999999999,51.43488899999999
Longhill Road,2,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"1 Longhill Road, London",SE6 1TU,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2019-11-05T06:30:00Z,-0.004904000000000001,51.435796
Longhill Road,2,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"1 Longhill Road, London",SE6 1TU,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2019-11-05T06:30:00Z,-0.004904000000000001,51.435796
Dowanhill Road,2,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"Dowanhill Road Between Ardgowan and Torridon, London",SE6 1DS,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2019-11-05T06:30:00Z,-9.959999999999997e-4,51.439965
Dowanhill Road,2,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"Dowanhill Road Between Ardgowan and Torridon, London",SE6 1DS,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2019-11-05T06:30:00Z,-9.959999999999997e-4,51.439965
Maythorne Cottages,2,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"Maythorne Cottages, London",SE13 6HE,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2019-11-05T06:29:00Z,-0.0019290000000000004,51.452211
Maythorne Cottages,2,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"Maythorne Cottages, London",SE13 6HE,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2019-11-05T06:29:00Z,-0.0019290000000000004,51.452211
Slaithwaite Road Car Park,5,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"Slaithwaite Road, Lewisham",SE13 6NA,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2019-10-18T05:43:00Z,-0.012106,51.458814100000005
Slaithwaite Road Car Park,5,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"Slaithwaite Road, Lewisham",SE13 6NA,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2019-10-18T05:43:00Z,-0.012106,51.458814100000005
Outside 24-26 Bromley Hill,1,CCS (Type 2),50,£0.108/kWh; for Polar Plus subscription members only,"Outside 24-26 Bromley Hill, Bromley",BR1 4JX,BP Pulse,https://www.bppulse.co.uk/,polarenquiries@chargemasterplc.com,2019-06-25T05:16:00Z,-0.001315,51.420914
Outside 24-26 Bromley Hill,1,CHAdeMO,50,£0.108/kWh; for Polar Plus subscription members only,"Outside 24-26 Bromley Hill, Bromley",BR1 4JX,BP Pulse,https://www.bppulse.co.uk/,polarenquiries@chargemasterplc.com,2019-06-25T05:16:00Z,-0.001315,51.420914
Outside 24-26 Bromley Hill,1,Type 2 (Tethered Connector),43,£0.108/kWh; for Polar Plus subscription members only,"Outside 24-26 Bromley Hill, Bromley",BR1 4JX,BP Pulse,https://www.bppulse.co.uk/,polarenquiries@chargemasterplc.com,2019-06-25T05:16:00Z,-0.001315,51.420914
333 Bromley Road,1,CCS (Type 2),50,£0.108/kWh; for Polar Plus subscription members only,"333 Bromley Road, Outside Catford Police station, London",SE6 2TE,BP Pulse,https://www.bppulse.co.uk/,polarenquiries@chargemasterplc.com,2019-06-24T05:15:00Z,-0.014853000000000003,51.430439
333 Bromley Road,1,CHAdeMO,50,£0.108/kWh; for Polar Plus subscription members only,"333 Bromley Road, Outside Catford Police station, London",SE6 2TE,BP Pulse,https://www.bppulse.co.uk/,polarenquiries@chargemasterplc.com,2019-06-24T05:15:00Z,-0.014853000000000003,51.430439
333 Bromley Road,1,Type 2 (Tethered Connector),43,£0.108/kWh; for Polar Plus subscription members only,"333 Bromley Road, Outside Catford Police station, London",SE6 2TE,BP Pulse,https://www.bppulse.co.uk/,polarenquiries@chargemasterplc.com,2019-06-24T05:15:00Z,-0.014853000000000003,51.430439
Outside 7 Bromley Hill,1,CCS (Type 2),50,£0.108/kWh; for Polar Plus subscription members only,"Outside 7 Bromley Hill, Bromley",BR1 4JX,BP Pulse,https://www.bppulse.co.uk/,polarenquiries@chargemasterplc.com,2019-06-20T05:38:00Z,-0.0015949999999999998,51.421356
Outside 7 Bromley Hill,1,CHAdeMO,50,£0.108/kWh; for Polar Plus subscription members only,"Outside 7 Bromley Hill, Bromley",BR1 4JX,BP Pulse,https://www.bppulse.co.uk/,polarenquiries@chargemasterplc.com,2019-06-20T05:38:00Z,-0.0015949999999999998,51.421356
Outside 7 Bromley Hill,1,Type 2 (Tethered Connector),43,£0.108/kWh; for Polar Plus subscription members only,"Outside 7 Bromley Hill, Bromley",BR1 4JX,BP Pulse,https://www.bppulse.co.uk/,polarenquiries@chargemasterplc.com,2019-06-20T05:38:00Z,-0.0015949999999999998,51.421356
Clifton Road,1,CHAdeMO,50,29p/kWh PAYG,"Clifton Road, London",SE14 6JP,NA,NA,NA,2019-03-07T16:45:00Z,-0.036876,51.47589099999999
Clifton Road,1,CCS (Type 2),50,29p/kWh PAYG,"Clifton Road, London",SE14 6JP,NA,NA,NA,2019-03-07T16:45:00Z,-0.036876,51.47589099999999
Clifton Road,1,Type 2 (Tethered Connector),43,29p/kWh PAYG,"Clifton Road, London",SE14 6JP,NA,NA,NA,2019-03-07T16:45:00Z,-0.036876,51.47589099999999
Lewisham Centre multi-storey car park,4,Type 2 (Socket Only),7,£0.108/kWh; for Polar Plus subscription members only. Parking fees apply. Polar Network users charged £1.70/hour connected,"Molesworth Street, Lewisham, London, England",SE13 7HB,BP Pulse,https://www.bppulse.co.uk/,polarenquiries@chargemasterplc.com,2019-03-05T06:13:00Z,-0.012621000000000002,51.461898999999995
124 Lewisham Way,1,CHAdeMO,50,£0.29/kWh; other tariffs available,"Lewisham Way, London",SE14 6PD,NA,NA,NA,2018-11-22T11:50:00Z,-0.030955000000000007,51.472059
124 Lewisham Way,1,CCS (Type 2),50,£0.29/kWh; other tariffs available,"Lewisham Way, London",SE14 6PD,NA,NA,NA,2018-11-22T11:50:00Z,-0.030955000000000007,51.472059
124 Lewisham Way,1,Type 2 (Tethered Connector),43,£0.29/kWh; other tariffs available,"Lewisham Way, London",SE14 6PD,NA,NA,NA,2018-11-22T11:50:00Z,-0.030955000000000007,51.472059
The Clarendon Hotel,2,Tesla (Model S/X),13,NA,"The Clarendon Hotel, Blackheath, London",SE3 0RW,Tesla Motors (Worldwide),http://www.teslamotors.com,NA,2018-10-11T12:21:00Z,0.009908999999999998,51.468616
2 Riddons Road,3,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"2 Riddons Road, LONDON",SE12 9QR,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-07-23T15:54:00Z,0.031131345959199995,51.4314451949
2 Riddons Road,3,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"2 Riddons Road, LONDON",SE12 9QR,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-07-23T15:54:00Z,0.031131345959199995,51.4314451949
Holbeach Road Car Park,5,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"Holbeach Road, Catford, Lewisham",SE6 4TW,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-05-19T16:52:00Z,-0.0206127,51.4461883
Holbeach Road Car Park,5,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"Holbeach Road, Catford, Lewisham",SE6 4TW,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-05-19T16:52:00Z,-0.0206127,51.4461883
Kitto Road,2,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"77 Kitto Road, Lewisham, London",SE14 5SG,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-05-03T05:45:00Z,-0.04422927707250001,51.4680593004
Kitto Road,2,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"77 Kitto Road, Lewisham, London",SE14 5SG,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-05-03T05:45:00Z,-0.04422927707250001,51.4680593004
Doggett Road,3,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"Doggett Road, Lewisham, London",SE6 4QA,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-04-11T05:38:00Z,-0.024334099999999997,51.4461179
Doggett Road,3,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"Doggett Road, Lewisham, London",SE6 4QA,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-04-11T05:38:00Z,-0.024334099999999997,51.4461179
Doggett Road,3,BS1363 3 Pin 13 Amp,3,£0.059/minute; min £1.18; other tariffs available,"Doggett Road, Lewisham, London",SE6 4QA,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-04-11T05:38:00Z,-0.024334099999999997,51.4461179
Phoenix Community Housing,2,Type 2 (Socket Only),7,Free,"The Green Man, London",SE6 2RP,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2018-03-13T18:10:00Z,-0.011247999999999998,51.427794999999996
Frankham Street Car Park,4,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"Frankham Street, Lewisham, LONDON",SE8 4RJ,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-01-05T13:50:00Z,-0.022922090917,51.4773420958
Frankham Street Car Park,4,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"Frankham Street, Lewisham, LONDON",SE8 4RJ,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-01-05T13:50:00Z,-0.022922090917,51.4773420958
Frankham Street Car Park,4,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"Frankham Street, Lewisham, LONDON",SE8 4RJ,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-01-05T13:50:00Z,-0.022922090917,51.4773420958
Frankham Street Car Park,4,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"Frankham Street, Lewisham, LONDON",SE8 4RJ,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-01-05T13:50:00Z,-0.022922090917,51.4773420958
Frankham Street Car Park,4,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"Frankham Street, Lewisham, LONDON",SE8 4RJ,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-01-05T13:50:00Z,-0.022922090917,51.4773420958
Frankham Street Car Park,4,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available,"Frankham Street, Lewisham, LONDON",SE8 4RJ,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-01-05T13:50:00Z,-0.022922090917,51.4773420958
Frankham Street Car Park,4,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available,"Frankham Street, Lewisham, LONDON",SE8 4RJ,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2018-01-05T13:50:00Z,-0.022922090917,51.4773420958
St Johns Vale,1,Type 2 (Socket Only),7,£0.036/minute; min £0.72,"33 St Johns Vale, LONDON",SE8 4EN,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2017-09-16T05:22:00Z,-0.022778695070999996,51.4700016349
St Johns Vale,1,Type 1 (J1772),4,£0.036/minute; min £0.72,"33 St Johns Vale, LONDON",SE8 4EN,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2017-09-16T05:22:00Z,-0.022778695070999996,51.4700016349
PSA Groupe-Bellamys Citroen,2,Type 2 (Socket Only),7,Free,"2 Burnt Ash Hill, London",SE12 0HL,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2017-09-12T05:28:00Z,0.01248,51.449562
Blackheath Grove Car Park,1,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available. Parking fees apply.,"St Josephs Vale, Lewisham",SE3 0TE,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2017-04-27T14:54:00Z,0.009892100000000001,51.4667303
Blackheath Grove Car Park,1,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available. Parking fees apply.,"St Josephs Vale, Lewisham",SE3 0TE,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2017-04-27T14:54:00Z,0.009892100000000001,51.4667303
Clarendon Rise Car Park,5,Type 1 (J1772),4,£0.059/minute; min £1.18; other tariffs available. Parking fees apply.,"Clarendon Rise, Lewisham",SE13 6BT,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2017-04-27T13:22:00Z,-0.0087065,51.4605189
Clarendon Rise Car Park,5,Type 2 (Socket Only),7,£0.059/minute; min £1.18; other tariffs available. Parking fees apply.,"Clarendon Rise, Lewisham",SE13 6BT,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2017-04-27T13:22:00Z,-0.0087065,51.4605189
Clarendon Rise Car Park,5,BS1363 3 Pin 13 Amp,3,£0.059/minute; min £1.18; other tariffs available. Parking fees apply.,"Clarendon Rise, Lewisham",SE13 6BT,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2017-04-27T13:22:00Z,-0.0087065,51.4605189
Sainsburys Sydenham,2,Type 2 (Socket Only),7,Free,"Southend Lane, Bellingham, London, England",SE26 4PU,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2017-04-15T10:13:00Z,-0.034253,51.43050100000001
Kangley Bridge Bowls Centre,2,BS1363 3 Pin 13 Amp,3,Free,"Kangley Bridge Road, Bellingham, London",SE26 5AQ,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2016-10-22T15:39:00Z,-0.0343189000000166,51.4251432
