LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_OPERATIONAL_RATING,YR1_OPERATIONAL_RATING,YR2_OPERATIONAL_RATING,OPERATIONAL_RATING_BAND,ELECTRIC_CO2,HEATING_CO2,RENEWABLES_CO2,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,MAIN_BENCHMARK,MAIN_HEATING_FUEL,OTHER_FUEL,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,TOTAL_FLOOR_AREA,ANNUAL_THERMAL_FUEL_USAGE,TYPICAL_THERMAL_FUEL_USAGE,ANNUAL_ELECTRICAL_FUEL_USAGE,TYPICAL_ELECTRICAL_FUEL_USAGE,RENEWABLES_FUEL_THERMAL,RENEWABLES_ELECTRICAL,YR1_ELECTRICITY_CO2,YR2_ELECTRICITY_CO2,YR1_HEATING_CO2,YR2_HEATING_CO2,YR1_RENEWABLES_CO2,YR2_RENEWABLES_CO2,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,BUILDING_CATEGORY,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,NOMINATED_DATE,OR_ASSESSMENT_END_DATE,LODGEMENT_DATETIME,OCCUPANCY_LEVEL
113328210062017121721221885050534,BUILDING C,Coopers Lane Primary School,Pragnell Road,SE12 0LF,385410590004,49,36,,B,7,19,0,Schools And Seasonal Public Buildings,2017-05-05,E09000023,E14000787,Greater London Authority,2017-12-17,Schools And Seasonal Public Buildings,Natural Gas,,,,1018.22,97,147,13,45,0,0,6,,15,,0,,No,,,4,Mixed-mode with Mechanical Ventilation,S3;,"BUILDING C, Coopers Lane Primary School, Pragnell Road",Lewisham,Lewisham East,LONDON,2016-12-31,2016-12-31,2017-12-17 21:22:18,Extended Occupancy
5263739032011102711020777900599,,Lewisham Art House,140 Lewisham Way,SE14 6PD,398758730000,15,14,17,A,25,0,0,Cultural activities,2011-10-23,E09000023,E14000789,Greater London Authority,2011-10-27,Cultural activities,Grid Supplied Electricity,,,,1611,0,234,28,101,0,0,23,20,0,8,0,0,No,,,4,Heating and Natural Ventilation,H4;,"Lewisham Art House, 140 Lewisham Way",Lewisham,"Lewisham, Deptford",LONDON,2011-10-23,2011-09-07,2011-10-27 11:02:07,Extended Occupancy
6428026912008121213115700900624,,New Cross Fire Station,266 Queens Road,SE14 5JN,649460220000,71,,,C,59,63,0,Emergency Services,2008-12-12,E09000023,E14000789,Greater London Authority,2008-12-12,Emergency Services,Natural Gas,,Not applicable,Not applicable,1722,189,287,63,78,0,0,,,,,,,,,,,Heating and Natural Ventilation,S9; C1;,"New Cross Fire Station, 266 Queens Road",Lewisham,"Lewisham, Deptford",LONDON,2008-12-01,2008-10-24,2008-12-12 13:11:57,
99526310922015022314534760290632,B BLOCK,Haberdasher Aske's Knights Temple Grove,72 Ballamore Road,BR1 5LW,368916040002,180,,,G,39,30,0,Schools And Seasonal Public Buildings,2014-11-26,E09000023,E14000787,Greater London Authority,2015-02-23,Schools And Seasonal Public Buildings,Natural Gas,,,,813,188,129,88,40,0,0,,,,,,,No,,,4,Heating and Natural Ventilation,S3;,"B BLOCK, Haberdasher Aske's Knights Temple Grove, 72 Ballamore Road",Lewisham,Lewisham East,BROMLEY,2015-03-31,2015-01-01,2015-02-23 14:53:47,Standard Occupancy
7708697052009012320224106900638,,St. Marys C of E School,Lewisham High Street,SE13 6NX,685076630000,107,,,E,30,29,,Schools and seasonal public buildings,2008-10-01,E09000023,E14000789,Greater London Authority,2009-01-23,Schools and seasonal public buildings,Natural Gas,,Not applicable,Not applicable,1075,141,150,50,40,0,0,,,,,,,,,,,Heating and Natural Ventilation,S3;,"St. Marys C of E School, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2008-10-01,2008-09-29,2009-01-23 20:22:41,
9592120022015092609162955210640,,St Georges C of E Primary School,Perry Vale,SE23 2NE,458027530000,108,115,125,E,35,30,0,Schools And Seasonal Public Buildings,2015-09-26,E09000023,E14000788,Greater London Authority,2015-09-26,Schools And Seasonal Public Buildings,Natural Gas,,,,1229,125,138,52,40,0,0,37,50,30,30,0,0,No,,,4,Heating and Natural Ventilation,S3;,"St Georges C of E Primary School, Perry Vale",Lewisham,Lewisham West and Penge,LONDON,2015-09-30,2015-07-20,2015-09-26 09:16:29,Standard Occupancy
5432480922008112616120040290650,,Abbey Manor College,40 Falmouth Close,SE12 8PJ,540185000000,111,,,E,63,62,,Schools and seasonal public buildings,2008-11-26,E09000023,E14000787,Greater London Authority,2008-11-26,Schools and seasonal public buildings,Natural Gas,,Not applicable,Not applicable,1841,174,162,62,55,0,0,,,,,,,,,,,Heating and Natural Ventilation,S3;,"Abbey Manor College, 40 Falmouth Close",Lewisham,Lewisham East,LONDON,,2008-08-28,2008-11-26 16:12:00,
9397080022012110615474725040650,,Myatt Garden Primary School,Rokeby Road,SE4 1DF,526088590000,159,162,118,G,61,64,0,Schools And Seasonal Public Buildings,2012-04-06,E09000023,E14000789,Greater London Authority,2012-11-06,Schools And Seasonal Public Buildings,Natural Gas,,,,1658,198,131,67,40,0,0,58,62,79,82,0,0,No,,,4,Heating and Natural Ventilation,S3;,"Myatt Garden Primary School, Rokeby Road",Lewisham,"Lewisham, Deptford",LONDON,2012-04-07,2012-03-30,2012-11-06 15:47:47,Standard Occupancy
9417100922019120320210837020770,,Rangefield Primary School,Rangefield Road,BR1 4RP,734707710000,98,63,118,D,76,50,0,Schools And Seasonal Public Buildings,2019-12-03,E09000023,E14000787,Greater London Authority,2019-12-03,Schools And Seasonal Public Buildings,Natural Gas,,,,2657.2,96,135,52,40,0,0,62,88,20,63,0,0,Yes,,2,4,Heating and Natural Ventilation,S3;,"Rangefield Primary School, Rangefield Road",Lewisham,Lewisham East,BROMLEY,2019-10-30,2019-09-02,2019-12-03 20:21:08,Standard Occupancy
33244341942014110710414729200770,HOO,Lewisham Hospital,Lewisham High Street,SE13 6LH,299964220010,173,246,,G,93,69,0,General Office,2014-03-31,E09000023,E14000789,Greater London Authority,2014-11-07,General Office,Natural Gas,,,No renewables are installed,1270,280,110,133,95,0,0,140,,99,,0,,No,,,4,Heating and Natural Ventilation,C1;,"HOO, Lewisham Hospital, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2014-03-31,2014-04-01,2014-11-07 10:41:47,Standard Occupancy
33244741942013052419593229240770,SOO,Lewisham Hospital,Lewisham High Street,SE13 6LH,299964220014,140,,,F,217,153,0,Hospital - Clinical And Research,2013-03-31,E09000023,E14000789,Greater London Authority,2013-05-24,Hospital - Clinical And Research,Natural Gas,,,,1975.2,400,433,200,90,0,0,,,,,,,No,,,4,Heating and Natural Ventilation,S6;,"SOO, Lewisham Hospital, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2013-03-31,2013-04-01,2013-05-24 19:59:32,Standard Occupancy
30132440062013062315580383260780,,Royal Mail,"Lewisham Delivery Office, 32 Engate Street",SE13 7HG,882542350000,104,96,100,E,46,36,0,Workshop; General Office; Restaurant; Storage Facility; Covered Car Park,2013-06-23,E09000023,E14000789,Greater London Authority,2013-06-23,Workshop,Natural Gas,,,,1514,124,150,55,41,0,0,44,41,21,32,0,0,No,,,4,Heating and Natural Ventilation,W3; C1; H1; W4; S1;,"Royal Mail, Lewisham Delivery Office, 32 Engate Street",Lewisham,"Lewisham, Deptford",LONDON,2013-07-08,2013-04-30,2013-06-23 15:58:03,Standard Occupancy
9618460022012020309525292020780,,Perrymount Primary School,Sunderland Road,SE23 2PX,899466200000,149,59,101,F,104,25,0,Schools And Seasonal Public Buildings,2012-02-03,E09000023,E14000788,Greater London Authority,2012-02-03,Schools And Seasonal Public Buildings,Natural Gas,,,,1718,75,146,110,40,0,0,18,55,29,25,0,0,Yes,,2,5,Mixed-mode with Natural Ventilation,S3;,"Perrymount Primary School, Sunderland Road",Lewisham,Lewisham West and Penge,LONDON,2011-10-01,2011-08-01,2012-02-03 09:52:52,Standard Occupancy
40365250842010091409520729300780,,9-19 Rushey Green,,SE6 4AZ,584855320000,101,96,96,E,151,69,0,High Street Agency,2010-08-31,E09000023,E14000787,Greater London Authority,2010-09-14,High Street Agency,Oil,,,,2881,90,0,96,138,0,0,140,149,72,59,0,0,No,,,4,Heating and Mechanical Ventilation,C2;,9-19 Rushey Green,Lewisham,Lewisham East,LONDON,2010-05-28,2010-02-28,2010-09-14 09:52:07,
26947260702013040317285460590790,WHITEHEAD BUILDING & ANNEXE,"Goldsmiths, University of London",8 Lewisham Way,SE14 6NW,673096560009,82,53,,D,170,110,0,University Campus,2013-01-30,E09000023,E14000789,Greater London Authority,2013-04-03,University Campus,Natural Gas,,,,3111,182,257,99,110,0,0,133,,54,,0,,No,,,4,Heating and Natural Ventilation,S4;,"WHITEHEAD BUILDING & ANNEXE, Goldsmiths, University of London, 8 Lewisham Way",Lewisham,"Lewisham, Deptford",LONDON,2012-10-30,2012-07-31,2013-04-03 17:28:54,Extended Occupancy
24384745132015041609195089000793,BOSTOCK BUILDING,Haberdashers Askes Hatcham College,Jerningham Road,SE14 5NY,438972570001,94,,,D,64,4,0,Schools And Seasonal Public Buildings,2015-02-18,E09000023,E14000789,Greater London Authority,2015-04-16,Schools And Seasonal Public Buildings,Natural Gas,,,,1538.38,14,129,76,40,0,0,,,,,,,No,,,4,Heating and Natural Ventilation,S3;,"BOSTOCK BUILDING, Haberdashers Askes Hatcham College, Jerningham Road",Lewisham,"Lewisham, Deptford",LONDON,2015-03-31,2015-01-01,2015-04-16 09:19:50,Standard Occupancy
5619757032013110615551660900795,,Bellingham Leisure Centre,14a Randlesdown Road,SE6 3BT,558074030000,42,49,46,B,103,110,0,Dry Sports And Leisure Facility; Fitness And Health Centre,2013-11-06,E09000023,E14000788,Greater London Authority,2013-11-06,Dry Sports And Leisure Facility,Natural Gas,,,,3590,159,387,53,122,0,0,135,134,98,91,0,0,No,,,5,Mixed-mode with Mechanical Ventilation,H8; H7;,"Bellingham Leisure Centre, 14a Randlesdown Road",Lewisham,Lewisham West and Penge,LONDON,2013-09-29,2013-07-02,2013-11-06 15:55:16,Extended Occupancy
5619753032017051020014900000795,,Bellingham Leisure Centre,14a Randlesdown Road,SE6 3BT,558074030000,57,,,C,127,111,0,Dry Sports And Leisure Facility; Fitness And Health Centre,2017-05-10,E09000023,E14000788,Greater London Authority,2017-05-10,Dry Sports And Leisure Facility,Natural Gas,,,,2771,,,,,,,,,,,,,Yes,,2,3,Heating and Mechanical Ventilation,H8; H7;,"Bellingham Leisure Centre, 14a Randlesdown Road",Lewisham,Lewisham West and Penge,LONDON,2017-04-01,2017-02-01,2017-05-10 20:01:49,Extended Occupancy
29909810022010012520290351290550,,Royal Mail,"Catford Delivery Office, 94 Bromley Road",SE6 2UT,554215190000,158,,,G,41,64,,Workshop,2010-01-25,E09000023,E14000787,Greater London Authority,2010-01-25,Workshop,Natural Gas,,Not applicable,Not applicable,1260,261,172,59,35,0,0,,,,,,,No,,,4,Heating and Natural Ventilation,W3;,"Royal Mail, Catford Delivery Office, 94 Bromley Road",Lewisham,Lewisham East,LONDON,2010-01-25,2009-11-01,2010-01-25 20:29:03,
9145710062014092509101190210560,,Brindishe Manor School,Leahurst Road,SE13 5LS,699910060000,150,133,212,F,63,123,0,Schools And Seasonal Public Buildings,2014-09-25,E09000023,E14000787,Greater London Authority,2014-09-25,Schools And Seasonal Public Buildings,Natural Gas,,,,2610,244,132,44,40,0,0,60,74,121,88,0,0,No,,,4,Heating and Natural Ventilation,S3;,"Brindishe Manor School, Leahurst Road",Lewisham,Lewisham East,LONDON,2014-07-31,2014-07-01,2014-09-25 09:10:11,Standard Occupancy
68904900062016082516392495280561,UPPER SCHOOL,Bonus Pastor Catholic College,Winlaton Road,BR1 5PZ,693706510001,132,115,124,F,204,75,3,Schools And Seasonal Public Buildings,2016-08-25,E09000023,E14000787,Greater London Authority,2016-08-25,Schools And Seasonal Public Buildings,Natural Gas,,,,4412,87,132,84,40,0,1.6,156,157,92,104,5,0,Yes,,2,5,Heating and Natural Ventilation,S3;,"UPPER SCHOOL, Bonus Pastor Catholic College, Winlaton Road",Lewisham,Lewisham East,BROMLEY,2016-07-31,2016-06-30,2016-08-25 16:39:24,Standard Occupancy
8924030062010032411242175970590,,Metropolitan Police,"Lewisham Police Station, 43 Lewisham High Street",SE13 5JZ,971630570000,182,179,,G,2301,756,0,Emergency Services,2010-03-15,E09000023,E14000787,Greater London Authority,2010-03-24,Emergency Services,Natural Gas,,,,15271,253,368,274,70,0,0,2256,,770,,0,,Yes,,3,5,Air Conditioning,S9;,"Metropolitan Police, Lewisham Police Station, 43 Lewisham High Street",Lewisham,Lewisham East,LONDON,2010-03-15,2010-01-01,2010-03-24 11:24:21,
11622855032015112313534269900591,,Holy Cross RC School,Culverley Road,SE6 2LD,512954800000,75,74,69,C,24,20,0,Schools And Seasonal Public Buildings,2015-10-26,E09000023,E14000787,Greater London Authority,2015-11-23,Schools And Seasonal Public Buildings,Natural Gas,,NONE,NONE,1199,86,138,36,40,0,0,24,23,18,20,0,0,Yes,,2,2,Mixed-mode with Natural Ventilation,S3;,"Holy Cross RC School, Culverley Road",Lewisham,Lewisham East,LONDON,2015-10-01,2015-08-01,2015-11-23 13:53:42,Standard Occupancy
11622853032017091117513199000591,,Holy Cross RC School,Culverley Road,SE6 2LD,512954800000,76,76,75,D,25,19,0,Schools And Seasonal Public Buildings,2017-09-11,E09000023,E14000787,Greater London Authority,2017-09-11,Schools And Seasonal Public Buildings,Natural Gas,,,,1199,83,135,37,40,0,0,23,24,20,20,0,0,Yes,,2,2,Mixed-mode with Natural Ventilation,S3;,"Holy Cross RC School, Culverley Road",Lewisham,Lewisham East,LONDON,2017-10-01,2017-08-01,2017-09-11 17:51:31,Standard Occupancy
2293205752008102512450901000690,,"333, Bromley Road",,SE6 2RP,606551590000,148,,,F,314,168,,Information not provided,2008-09-30,E09000023,E14000787,Greater London Authority,2008-10-25,Emergency services,Natural Gas,,Not applicable,Not applicable,2984,290,365,192,70,0,0,,,,,,,,,,,Heating and Mechanical Ventilation,S9;,"333, Bromley Road",Lewisham,Lewisham East,LONDON,,2008-06-30,2008-10-25 12:45:09,
95147221032019112010383896900691,,"15, St. Nicholas Street",,SE8 4QF,212661350000,79,,,D,54,34,0,Schools And Seasonal Public Buildings,2019-11-11,E09000023,E14000789,Greater London Authority,2019-11-20,Schools And Seasonal Public Buildings,Natural Gas,,,Solar Photovoltaic Electricity System: 1 kWh Electricity,2326,76,135,42,40,0,0,,,,,,,Yes,,2,3,Heating and Natural Ventilation,S3;,"15, St. Nicholas Street",Lewisham,"Lewisham, Deptford",LONDON,2019-09-01,2019-08-31,2019-11-20 10:38:38,Standard Occupancy
24649212032012102220200808900698,,Greenvale School,Waters Road,SE6 1UF,184866210000,97,100,101,D,101,70,0,Schools And Seasonal Public Buildings,2012-10-20,E09000023,E14000787,Greater London Authority,2012-10-22,Schools And Seasonal Public Buildings,Natural Gas,,,,3618.62,99,137,51,40,0,0,113,151,69,79,0,0,Yes,,2,3,Mixed-mode with Natural Ventilation,S3;,"Greenvale School, Waters Road",Lewisham,Lewisham East,LONDON,2012-09-30,2012-06-30,2012-10-22 20:20:08,Standard Occupancy
