PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
MEDIUM,6742910022016052513041863050760,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
OTHER,6742910022016052513041863050760,1,None,"Consider Empowering some of the children and making them, Environmental Champions. In their appointment they be asked to reduce wasted energy e.g. to turn off lights which are left on, inform the members of staff to turn off heat emitters before opening windows to cool the room etc.",HIGH
LONG,6742910022016052513041863050760,2,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
MEDIUM,6742910022016052513041863050760,2,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,LOW
OTHER,6742910022016052513041863050760,2,None,Consider connecting PIR sensors to some of the lights to automatically switches lights on and off.,MEDIUM
SHORT,6742910022016052513041863050760,2,BF1,Consider introducing or improving loft insulation.,LOW
MEDIUM,6742910022016052513041863050760,3,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,MEDIUM
OTHER,6742910022016052513041863050760,3,None,"Consider Introducing LED lighting throughout the building LED’s have a high investment cost with a potential short payback period. The benefits are not only reduced energy costs but also maintenance as lighting lasts up to 100,000.00 hours.",HIGH
SHORT,6742910022016052513041863050760,3,X4,Review staffing arrangements and set up formal systems for delegating authority for Building Energy Management System alterations and/or temporary overrides.,MEDIUM
LONG,6742910022016052513041863050760,3,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",HIGH
LONG,6742910022016052513041863050760,4,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
OTHER,6742910022016052513041863050760,4,None,Log onto the Carbon Trust Website for free publications on saving money and reducing carbon emissions. http//www.carbontrust.co.uk,HIGH
MEDIUM,6742910022016052513041863050760,4,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,HIGH
SHORT,6742910022016052513041863050760,4,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
LONG,6742910022016052513041863050760,5,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
OTHER,6742910022016052513041863050760,5,None,"Where white boards, Smart TV's or projectors are used in classrooms and corridors consider implementation of a programme to ensure they are switched off during long periods such as break times, lunch & overnight",MEDIUM
SHORT,6742910022016052513041863050760,5,CON18,Consider upgrading major time controls to include optimum start/stop.,MEDIUM
SHORT,6742910022016052513041863050760,6,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,HIGH
SHORT,6742910022016052513041863050760,7,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,6742910022016052513041863050760,8,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
SHORT,6742910022016052513041863050760,9,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,6742910022016052513041863050760,10,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",HIGH
SHORT,6742910022016052513041863050760,11,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
MEDIUM,7708670062020030310024586290760,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,MEDIUM
LONG,7708670062020030310024586290760,1,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
SHORT,7708670062020030310024586290760,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
LONG,7708670062020030310024586290760,2,BF12,Consider introducing or improving ground or exposed floor insulation.,LOW
MEDIUM,7708670062020030310024586290760,2,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
SHORT,7708670062020030310024586290760,2,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
MEDIUM,7708670062020030310024586290760,3,BF9,Consider introducing orimproving cavity wall insulation.,MEDIUM
SHORT,7708670062020030310024586290760,3,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
LONG,7708670062020030310024586290760,3,BF8,Consider constructing draught lobbies to reduce unwanted air infiltration.,LOW
MEDIUM,7708670062020030310024586290760,4,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
LONG,7708670062020030310024586290760,4,BF2,Consider introducing or improving insulation of flat roofs.,MEDIUM
LONG,7708670062020030310024586290760,5,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
MEDIUM,7708670062020030310024586290760,5,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,7708670062020030310024586290760,6,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,MEDIUM
LONG,5246760922008112814444293290350,1,BF12,Consider introducing or improving ground or exposed floor insulation.,HIGH
SHORT,5246760922008112814444293290350,1,CON15,Consider installing weather compensator controls on heating and cooling systems.,HIGH
MEDIUM,5246760922008112814444293290350,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,LOW
LONG,5246760922008112814444293290350,2,BF3,Consider replacing or improving glazing.,LOW
SHORT,5246760922008112814444293290350,2,CON18,Consider upgrading major time controls to include optimum start/stop.,MEDIUM
MEDIUM,5246760922008112814444293290350,2,BF9,Consider introducing/improving cavity wall insulation.,HIGH
SHORT,5246760922008112814444293290350,3,HW20,Consider fitting 24hour/7day time controls onto electric HWS cylinders.,HIGH
LONG,25347016032017011614124490900493,1,BF3,Consider replacing or improving glazing.,HIGH
OTHER,25347016032017011614124490900493,1,None,"Consider Empowering some of the children and making them, Environmental Champions. In their appointment they be asked to reduce wasted energy e.g. to turn off lights which are left on, inform the members of staff to turn radiators before opening windows to cool the room etc",MEDIUM
MEDIUM,25347016032017011614124490900493,1,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,HIGH
SHORT,25347016032017011614124490900493,1,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",HIGH
OTHER,25347016032017011614124490900493,2,None,Log onto the Carbon Trust Website for free publications on saving money and reducing carbon emissions. http//www.carbontrust.co.uk,MEDIUM
LONG,25347016032017011614124490900493,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
SHORT,25347016032017011614124490900493,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",HIGH
MEDIUM,25347016032017011614124490900493,2,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,MEDIUM
SHORT,25347016032017011614124490900493,3,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
MEDIUM,25347016032017011614124490900493,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
OTHER,25347016032017011614124490900493,3,None,Consider insulating hot water pipe work in the school. This will lead to less heat loss and a greater efficiency of the hot water systems.,MEDIUM
LONG,25347016032017011614124490900493,3,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
MEDIUM,25347016032017011614124490900493,4,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
SHORT,25347016032017011614124490900493,4,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,HIGH
OTHER,25347016032017011614124490900493,4,None,"Where white boards or smart TV's are used in classroom consider implementation of a programme to ensure they are switched off during long periods such as breaktimes, lunch & overnight.",LOW
OTHER,25347016032017011614124490900493,5,None,Air Conditioning energy Inspections are due on all air Conditioning Systems from 2011 engage experts to ensure compliance.,MEDIUM
SHORT,25347016032017011614124490900493,5,SP24,Enable power save settings and power down management on computers and associated equipment.,MEDIUM
SHORT,25347016032017011614124490900493,6,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,LOW
OTHER,25347016032017011614124490900493,6,None,Consider engaging experts to access current lighting and electrical equipment to advise on possible energy reduction devices.,MEDIUM
SHORT,25347016032017011614124490900493,7,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
OTHER,25347016032017011614124490900493,7,None,Investigate the base level of operation within the property by switching down all un-required equipment & lighting overnight then monitor future consumption against the base.,HIGH
SHORT,25347016032017011614124490900493,8,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the Energy Performance of Buildings Regulations),HIGH
LONG,25364440962016112219190740990520,1,BF8,Consider constructing draught lobbies to reduce unwanted air infiltration.,LOW
MEDIUM,25364440962016112219190740990520,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
OTHER,25364440962016112219190740990520,1,None,Log onto the Carbon Trust Website for free publications on saving money and reducing carbon emissions. http//www.carbontrust.co.uk,HIGH
SHORT,25364440962016112219190740990520,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
MEDIUM,25364440962016112219190740990520,2,BF9,Consider introducing orimproving cavity wall insulation.,MEDIUM
OTHER,25364440962016112219190740990520,2,None,Consider installing thermometers to establish local zone heating and control at a maximum of 21 degree’s.,MEDIUM
SHORT,25364440962016112219190740990520,2,X11,Consider implementing a programme of planned lighting systems maintenance to maintain effectiveness and energy efficiency.,LOW
LONG,25364440962016112219190740990520,2,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
MEDIUM,25364440962016112219190740990520,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
LONG,25364440962016112219190740990520,3,BF3,Consider replacing or improving glazing.,MEDIUM
OTHER,25364440962016112219190740990520,3,None,Investigate the base level of operation within the property by switching down all un-required equipment & lighting overnight then monitor future consumption against the base,HIGH
SHORT,25364440962016112219190740990520,3,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
LONG,25364440962016112219190740990520,4,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,HIGH
MEDIUM,25364440962016112219190740990520,4,BF4,Consider fitting secondary glazing and/or under glaze sky lights where appropriate.,MEDIUM
OTHER,25364440962016112219190740990520,4,None,"Consider Empowering some key students and making them, Environmental Champions. In their appointment they be asked to reduce wasted energy e.g. to turn off lights which are left on, inform the members of staff to turn radiators before opening windows to cool the room etc",MEDIUM
SHORT,25364440962016112219190740990520,4,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,25364440962016112219190740990520,5,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the Energy Performance of Buildings Regulations),MEDIUM
OTHER,25364440962016112219190740990520,5,None,"Where white boards/Smart TV's are used in classrooms, consider implementation of a programme to ensure they are switched off during long periods such as breaktimes, lunch & overnight",LOW
LONG,25364440962016112219190740990520,5,BF2,Consider introducing or improving insulation of flat roofs.,MEDIUM
MEDIUM,25364440962016112219190740990520,5,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,25364440962016112219190740990520,6,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,MEDIUM
OTHER,25364440962016112219190740990520,6,None,In the event a heating system is considered engage experts to advise on the efficiency of the systems to ensure efficiency isn’t compromised by price.  Some systems could have a cost payback period of less than 12 months against a cheaper system.,HIGH
SHORT,25364440962016112219190740990520,6,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
OTHER,25364440962016112219190740990520,7,None,The heating consumption over the last two years has significantly increased it is recommended to investigate the consumption to identify the additional usage.,HIGH
SHORT,25364440962016112219190740990520,7,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
SHORT,25364440962016112219190740990520,8,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
SHORT,25364440962016112219190740990520,9,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,25364440962016112219190740990520,10,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",MEDIUM
LONG,33244961022010033010270492070526,1,BF3,Consider replacing or improving glazing.,MEDIUM
MEDIUM,33244961022010033010270492070526,1,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
SHORT,33244961022010033010270492070526,1,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
LONG,33244961022010033010270492070526,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
SHORT,33244961022010033010270492070526,2,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,MEDIUM
SHORT,33244961022010033010270492070526,3,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the EPB Regulations SI 2007/991 as amended.),MEDIUM
SHORT,33244961022010033010270492070526,4,AC23,Engage experts to review overall air conditioning strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
SHORT,33244961022010033010270492070526,5,HW3,Engage experts to survey the condition of the HWS systems and propose remedial and upgrading works to improve condition and operating efficiency.,LOW
SHORT,33244961022010033010270492070526,6,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
SHORT,33244961022010033010270492070526,7,SP24,Enable power save settings and power down management on computers and associated equipment.,MEDIUM
SHORT,33244961022010033010270492070526,8,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
SHORT,33244961022010033010270492070526,9,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,MEDIUM
LONG,6428026912008121213115700900624,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaries and their control systems and develop an implementation plan.",MEDIUM
MEDIUM,6428026912008121213115700900624,1,BF1,Consider introducing or improving loft insulation,MEDIUM
SHORT,6428026912008121213115700900624,1,X25,"Consider introducing a system of regular checks of Heating, Ventilation and Air Conditioning (HVAC) time and temperature settings and provisions to prevent unauthorised adjustment.",LOW
LONG,6428026912008121213115700900624,2,BF3,Consider replacing or improving glazing.,LOW
MEDIUM,6428026912008121213115700900624,2,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
SHORT,6428026912008121213115700900624,2,CON17,Consider installing timer controls to energy consuming plant and equipment and adjust to suit current building occupancy,LOW
SHORT,6428026912008121213115700900624,3,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
MEDIUM,6428026912008121213115700900624,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
SHORT,6428026912008121213115700900624,4,X24,Boiler plant should be regularly tested and adjusted by experts for operating efficiency.,LOW
SHORT,6428026912008121213115700900624,5,X11,Consider implementing a programme of planned lighting systems maintenance to maintain effectiveness and energy efficiency.,LOW
SHORT,6428026912008121213115700900624,6,OM15,"It is recommended that energy management techniques are be introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",LOW
SHORT,6428026912008121213115700900624,7,CON2,Engage experts to review the HVAC control systems settings and propose alterations and/or upgrades and adjust to suit current occupancy patterns.,LOW
SHORT,6428026912008121213115700900624,8,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys etc.",MEDIUM
SHORT,6428026912008121213115700900624,9,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",LOW
MEDIUM,99526310922015022314534760290632,1,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance. This might include building pressure tests for air tightness and thermography tests for insulation continuity.,HIGH
SHORT,99526310922015022314534760290632,1,CON18,Consider upgrading major time controls to include optimum start/stop.,HIGH
LONG,99526310922015022314534760290632,1,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
OTHER,99526310922015022314534760290632,1,None,Consider upgrading older T8 lighting to LED,HIGH
SHORT,99526310922015022314534760290632,2,BF1,Consider introducing or improving loft insulation.,HIGH
MEDIUM,99526310922015022314534760290632,2,BF9,Consider introducing or improving cavity wall insulation.,HIGH
LONG,99526310922015022314534760290632,2,BF12,Consider introducing or improving ground or exposed floor insulation.,HIGH
OTHER,99526310922015022314534760290632,2,None,"Insulate exposed hot water valves and flanges in the the plant room, these can be insulated with jackets incorporating velcro fastners for easy access.",LOW
MEDIUM,99526310922015022314534760290632,3,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,HIGH
LONG,99526310922015022314534760290632,3,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building. It is recommended that meters be installed and a regime of recording data be put in place. CIBSE TM 39 gives guidance on this.,HIGH
SHORT,99526310922015022314534760290632,3,OM15,"It is recommended that energy management techniques are introduced. These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",HIGH
SHORT,99526310922015022314534760290632,4,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,HIGH
SHORT,99526310922015022314534760290632,5,SP24,Enable power save settings and power down management on computers and associated equipment.,HIGH
LONG,7708697052009012320224106900638,1,BF2,Consider introducing or improving insulation of flat roofs.,LOW
MEDIUM,7708697052009012320224106900638,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
OTHER,7708697052009012320224106900638,1,None,Consider fitting TRV's to Rads throughout the building,MEDIUM
SHORT,7708697052009012320224106900638,1,OM15,"It is recommended that energy management techniques are be introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
LONG,7708697052009012320224106900638,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
MEDIUM,7708697052009012320224106900638,2,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,MEDIUM
OTHER,7708697052009012320224106900638,2,None,"Consider Empowering some key students and making them, Environmental Champions. In their appointment they be asked to reduce wasted energy e.g. to turn off lights which are left on, inform the members of staff to turn radiators before opening windows to cool the room etc.",MEDIUM
SHORT,7708697052009012320224106900638,2,BF7,Consider adjusting existing or installing new automatic external door closers or adopting revolving door solutions.,HIGH
SHORT,7708697052009012320224106900638,3,BF19,Consider fitting existing air curtains with energy saving controls such as door interlocks and occupancy time switches.,LOW
LONG,7708697052009012320224106900638,3,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,MEDIUM
MEDIUM,7708697052009012320224106900638,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,LOW
OTHER,7708697052009012320224106900638,3,None,Consider connecting PIR sensors to some of the lights to automatically switches lights on and off.,MEDIUM
LONG,7708697052009012320224106900638,4,AE4,Consider installing building mounted photovoltaic electricity generating panels.,LOW
SHORT,7708697052009012320224106900638,4,BF6,"Consider how building fabric airtightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys etc.",LOW
MEDIUM,7708697052009012320224106900638,4,BF10,Consider introducing/improving wall insulation (internal lining) to solid single skin structures.,MEDIUM
OTHER,7708697052009012320224106900638,4,None,Consider insulating hot water pipe work in the school. This will lead to less heat loss and a greater efficiency of the hot water systems.,MEDIUM
LONG,7708697052009012320224106900638,5,AE3,Consider installing building mounted solar water heating.,HIGH
MEDIUM,7708697052009012320224106900638,5,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
OTHER,7708697052009012320224106900638,5,None,"Where white boards are used in classroom consider implementation of a programme to ensure they are switched off during long periods such as breaktimes, lunch & overnight.",LOW
SHORT,7708697052009012320224106900638,5,BF1,Consider introducing or improving loft insulation.,MEDIUM
SHORT,7708697052009012320224106900638,6,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,7708697052009012320224106900638,7,SP24,Enable power save settings and power down management on computers and associated equipment.,MEDIUM
SHORT,7708697052009012320224106900638,8,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
SHORT,7708697052009012320224106900638,9,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,HIGH
SHORT,5432480922008112616120040290650,1,BF1,Consider introducing or improving loft insulation.,HIGH
LONG,5432480922008112616120040290650,1,BF2,Consider introducing or improving insulation of flat roofs.,HIGH
MEDIUM,5432480922008112616120040290650,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,LOW
MEDIUM,5432480922008112616120040290650,2,BF9,Consider introducing/improving cavity wall insulation.,MEDIUM
SHORT,33244341942014110710414729200770,1,S14,Consider recovering heat from the boiler exhaust gases.,HIGH
LONG,33244341942014110710414729200770,1,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
MEDIUM,33244341942014110710414729200770,1,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,HIGH
SHORT,33244341942014110710414729200770,2,S2,Consider maximising hot condensate return to the boiler furnace.,HIGH
LONG,33244341942014110710414729200770,2,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building. It is recommended that meters be installed and a regime of recording data be put in place. CIBSE TM 39 gives guidance on this.,HIGH
LONG,33244341942014110710414729200770,3,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",HIGH
SHORT,33244341942014110710414729200770,3,X12,Clean windows and roof lights to maximise daylight entering building and reduce the need for artificial lighting.,HIGH
LONG,33244341942014110710414729200770,4,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",HIGH
SHORT,33244341942014110710414729200770,4,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,HIGH
SHORT,9618460022012020309525292020780,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
LONG,9618460022012020309525292020780,1,X7,Engage experts to review overall ventilation strategy and propose an investment programme for upgrading and/or switching to alternative solutions to improve effectiveness and energy efficiency.,LOW
MEDIUM,9618460022012020309525292020780,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,LOW
