PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
SHORT,106911730922015120106110223990340,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,106911730922015120106110223990340,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,106911730922015120106110223990340,4,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,106911730922015120106110223990340,5,EPC-R3,Consider installing solar water heating.,LOW
LONG,106987850502016040910004321200040,1,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
SHORT,106987850502016040910004321200040,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
SHORT,106987850502016040910004321200040,2,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,106987850502016040910004321200040,2,EPC-H7,Add optimum start/stop to the heating system.,LOW
LONG,106987850502016040910004321200040,3,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
SHORT,106987850502016040910004321200040,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,106987850502016040910004321200040,4,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
LONG,106987850502016040910004321200040,5,EPC-H8,Add weather compensation controls to heating system.,LOW
SHORT,107653842052015120711452202909822,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
MEDIUM,107653842052015120711452202909822,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
LONG,107653842052015120711452202909822,1,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,LOW
SHORT,107653842052015120711452202909822,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
MEDIUM,107653842052015120711452202909822,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
MEDIUM,107653842052015120711452202909822,3,EPC-H6,Add local temperature control to the heating system.,LOW
SHORT,107653842052015120711452202909822,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
MEDIUM,107653842052015120711452202909822,4,EPC-H8,Add weather compensation controls to heating system.,LOW
MEDIUM,107661425052015120701414507909287,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,107661425052015120701414507909287,1,EPC-W1,Install more efficient water heater.,MEDIUM
LONG,107661425052015120701414507909287,1,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
MEDIUM,107661425052015120701414507909287,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,107661425052015120701414507909287,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,107661425052015120701414507909287,2,EPC-H5,Add local time control to heating system.,MEDIUM
LONG,107661425052015120701414507909287,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
MEDIUM,107661425052015120701414507909287,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,107661425052015120701414507909287,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
SHORT,107661425052015120701414507909287,4,EPC-W2,Consider replacing HWS with point of use system.,MEDIUM
LONG,107661425052015120701414507909287,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,107661425052015120701414507909287,4,EPC-H6,Add local temperature control to the heating system.,MEDIUM
LONG,107661425052015120701414507909287,5,EPC-R5,Consider installing an air source heat pump.,HIGH
MEDIUM,107661425052015120701414507909287,5,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,107661425052015120701414507909287,5,EPC-H2,Add time control to heating system.,MEDIUM
SHORT,107661425052015120701414507909287,6,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
OTHER,107806630002015121118395319109920,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
OTHER,107806630002015121118395319109920,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
OTHER,107806630002015121118395319109920,3,EPC-E1,"Some floors are poorly insulated - introduce and/or improve insulation. Add insulation to the exposed surfaces of floors adjacent to underground, unheated spaces or exterior.",HIGH
OTHER,107806630002015121118395319109920,4,EPC-E3,Some solid walls are poorly insulated - introduce or improve internal wall insulation.,HIGH
OTHER,107806630002015121118395319109920,5,EPC-R5,Consider installing an air source heat pump.,HIGH
LONG,108160460962015121813561651920890,1,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,108160460962015121813561651920890,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,108160460962015121813561651920890,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,HIGH
LONG,108160460962015121813561651920890,2,EPC-R4,Consider installing PV.,LOW
MEDIUM,108160460962015121813561651920890,2,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
SHORT,108160460962015121813561651920890,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
SHORT,108160460962015121813561651920890,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
LONG,108164320922016010412260361020140,1,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
MEDIUM,108164320922016010412260361020140,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,108164320922016010412260361020140,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,HIGH
MEDIUM,108164320922016010412260361020140,2,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,MEDIUM
SHORT,108164320922016010412260361020140,2,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,108164320922016010412260361020140,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,108164320922016010412260361020140,3,EPC-R4,Consider installing PV.,LOW
OTHER,103108620252015072222563909019305,1,EPC-R5,Consider installing an air source heat pump.,LOW
OTHER,103108620252015072222563909019305,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
OTHER,103108620252015072222563909019305,3,EPC-E1,"Some floors are poorly insulated - introduce and/or improve insulation. Add insulation to the exposed surfaces of floors adjacent to underground, unheated spaces or exterior.",HIGH
OTHER,103108620252015072222563909019305,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
SHORT,103130110062015070916382961030711,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,103130110062015070916382961030711,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,103130110062015070916382961030711,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,103130110062015070916382961030711,2,EPC-E1,"Some floors are poorly insulated - introduce and/or improve insulation. Add insulation to the exposed surfaces of floors adjacent to underground, unheated spaces or exterior.",MEDIUM
SHORT,103130110062015070916382961030711,2,EPC-W1,Install more efficient water heater.,MEDIUM
MEDIUM,103130110062015070916382961030711,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,103130110062015070916382961030711,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,103130110062015070916382961030711,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,103130110062015070916382961030711,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,103130110062015070916382961030711,4,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,103130110062015070916382961030711,4,EPC-H5,Add local time control to heating system.,LOW
SHORT,103130110062015070916382961030711,4,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,103130110062015070916382961030711,5,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
MEDIUM,103130110062015070916382961030711,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,103130110062015070916382961030711,5,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,103130110062015070916382961030711,6,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,103495544212015072803544709009158,1,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,103495544212015072803544709009158,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
MEDIUM,103495544212015072803544709009158,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,103495544212015072803544709009158,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,103495544212015072803544709009158,2,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,103495544212015072803544709009158,3,EPC-R5,Consider installing an air source heat pump.,HIGH
MEDIUM,103495544212015072803544709009158,3,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
MEDIUM,103495544212015072803544709009158,4,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,103495544212015072803544709009158,4,EPC-R1,Consider installing a ground source heat pump.,HIGH
MEDIUM,103495544212015072803544709009158,5,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,103495544212015072803544709009158,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,103522476212015072716120605009980,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,103522476212015072716120605009980,1,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
SHORT,103522476212015072716120605009980,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,103522476212015072716120605009980,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,103522476212015072716120605009980,3,EPC-H7,Add optimum start/stop to the heating system.,LOW
SHORT,103522476212015072716120605009980,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,103522476212015072716120605009980,4,EPC-R3,Consider installing solar water heating.,LOW
LONG,103522476212015072716120605009980,5,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,104064400202015081717015994100980,1,EPC-H5,Add local time control to heating system.,LOW
OTHER,104064400202015081717015994100980,1,USER,Insert Recommendation here,LOW
MEDIUM,104064400202015081717015994100980,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,LOW
LONG,104064400202015081717015994100980,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,LOW
LONG,104064400202015081717015994100980,3,EPC-R4,Consider installing PV.,LOW
MEDIUM,104320597212015082509590407009588,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,104320597212015082509590407009588,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,104320597212015082509590407009588,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,104320597212015082509590407009588,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,104320597212015082509590407009588,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
SHORT,104320597212015082509590407009588,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,104320597212015082509590407009588,3,EPC-R3,Consider installing solar water heating.,LOW
SHORT,104320597212015082509590407009588,4,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,104320597212015082509590407009588,4,EPC-R4,Consider installing PV.,LOW
LONG,110562100062016030916131251070320,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,110562100062016030916131251070320,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,MEDIUM
SHORT,110562100062016030916131251070320,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
LONG,110562100062016030916131251070320,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,110562100062016030916131251070320,3,EPC-R3,Consider installing solar water heating.,LOW
SHORT,110562100062016030916131251070320,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,110562100062016030916131251070320,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,110562100062016030916131251070320,5,EPC-R4,Consider installing PV.,LOW
LONG,111127956032016040110301173000190,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,111127956032016040110301173000190,1,EPC-R5,Consider installing an air source heat pump.,LOW
LONG,111127956032016040110301173000190,2,EPC-R3,Consider installing solar water heating.,LOW
SHORT,111127956032016040110301173000190,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
SHORT,111127956032016040110301173000190,3,EPC-R1,Consider installing a ground source heat pump.,LOW
LONG,111127956032016040110301173000190,3,EPC-R4,Consider installing PV.,LOW
SHORT,111138272212016033014154208019851,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,111138272212016033014154208019851,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
OTHER,111138272212016033014154208019851,1,USER,Replace PL/CFL lamps with high efficiency modern equivalent,MEDIUM
OTHER,111138272212016033014154208019851,2,USER,Add PIR controls to lighting system,MEDIUM
LONG,111138272212016033014154208019851,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,111138272212016033014154208019851,3,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
OTHER,111470310022016041722041477940510,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,LOW
OTHER,111470310022016041722041477940510,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
OTHER,111470310022016041722041477940510,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
OTHER,111470310022016041722041477940510,4,EPC-W1,Install more efficient water heater.,MEDIUM
OTHER,111470310022016041722041477940510,5,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
OTHER,111470310022016041722041477940510,6,EPC-W2,Consider replacing HWS with point of use system.,LOW
OTHER,111470310022016041722041477940510,7,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
OTHER,111470310022016041722041477940510,8,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
OTHER,111470310022016041722041477940510,9,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
OTHER,111470310022016041722041477940510,10,EPC-R3,Consider installing solar water heating.,LOW
OTHER,111534300042016042518205715300940,1,EPC-H2,Add time control to heating system.,LOW
OTHER,111534300042016042518205715300940,2,EPC-C2,Chiller efficiency is low. Consider upgrading chiller plant.,LOW
OTHER,111534300042016042518205715300940,3,EPC-H6,Add local temperature control to the heating system.,LOW
OTHER,111534300042016042518205715300940,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
OTHER,111535026032016042518180654000693,1,EPC-H2,Add time control to heating system.,LOW
OTHER,111535026032016042518180654000693,2,EPC-C2,Chiller efficiency is low. Consider upgrading chiller plant.,LOW
OTHER,111535026032016042518180654000693,3,EPC-H6,Add local temperature control to the heating system.,LOW
OTHER,111535026032016042518180654000693,4,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,MEDIUM
OTHER,111535026032016042518180654000693,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
OTHER,111556368052016050616363708009627,1,EPC-H2,Add time control to heating system.,LOW
OTHER,111556368052016050616363708009627,2,EPC-H6,Add local temperature control to the heating system.,LOW
OTHER,111556368052016050616363708009627,3,EPC-H8,Add weather compensation controls to heating system.,LOW
OTHER,111557760542016042517490005800940,1,EPC-H2,Add time control to heating system.,LOW
OTHER,111557760542016042517490005800940,2,EPC-C2,Chiller efficiency is low. Consider upgrading chiller plant.,LOW
OTHER,111557760542016042517490005800940,3,EPC-H6,Add local temperature control to the heating system.,LOW
OTHER,111557760542016042517490005800940,4,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
OTHER,111557760542016042517490005800940,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
LONG,111642300022016041921175684940160,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
MEDIUM,111642300022016041921175684940160,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,111642300022016041921175684940160,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,111642300022016041921175684940160,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,111642300022016041921175684940160,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,111642300022016041921175684940160,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,111642300022016041921175684940160,3,EPC-R5,Consider installing an air source heat pump.,HIGH
MEDIUM,111642300022016041921175684940160,3,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,111642300022016041921175684940160,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,111642300022016041921175684940160,4,EPC-W1,Install more efficient water heater.,MEDIUM
SHORT,111642300022016041921175684940160,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,111642300022016041921175684940160,5,EPC-R1,Consider installing a ground source heat pump.,HIGH
MEDIUM,11166190062009020613045167020480,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,11166190062009020613045167020480,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,MEDIUM
LONG,11166190062009020613045167020480,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,11166190062009020613045167020480,2,EPC-W1,Install more efficient water heater.,LOW
MEDIUM,11166190062009020613045167020480,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,11166190062009020613045167020480,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
SHORT,11166190062009020613045167020480,3,EPC-L4,Replace tungsten GLS spotlights with low-voltage tungsten halogen: Payback period dependent on hours of use.,LOW
LONG,11166190062009020613045167020480,3,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,11166190062009020613045167020480,3,EPC-H8,Add weather compensation controls to heating system.,HIGH
LONG,11166190062009020613045167020480,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,11166190062009020613045167020480,4,EPC-H5,Add local time control to heating system.,HIGH
SHORT,11166190062009020613045167020480,4,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
MEDIUM,11166190062009020613045167020480,5,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
LONG,11166190062009020613045167020480,5,EPC-R3,Consider installing solar water heating.,LOW
SHORT,11166190062009020613045167020480,5,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
SHORT,11166190062009020613045167020480,6,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,11166190062009020613045167020480,7,EPC-H7,Add optimum start/stop to the heating system.,HIGH
SHORT,11166190062009020613045167020480,8,EPC-C2,Chiller efficiency is low. Consider upgrading chiller plant.,HIGH
SHORT,101787020022015052114342986250960,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,101787020022015052114342986250960,1,EPC-H2,Add time control to heating system.,MEDIUM
LONG,101787020022015052114342986250960,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,101787020022015052114342986250960,3,EPC-H6,Add local temperature control to the heating system.,MEDIUM
LONG,101787020022015052114342986250960,4,EPC-H5,Add local time control to heating system.,MEDIUM
LONG,101787020022015052114342986250960,5,EPC-R4,Consider installing PV.,LOW
