"date","geography","geography code","Rural Urban","Cars: All categories: Car or van availability; measures: Value","Cars: No cars or vans in household; measures: Value","Cars: 1 car or van in household; measures: Value","Cars: 2 cars or vans in household; measures: Value","Cars: 3 cars or vans in household; measures: Value","Cars: 4 or more cars or vans in household; measures: Value","Cars: sum of all cars or vans in the area; measures: Value"
"2011","E00004418","E00004418","Total",114,46,51,15,1,1,88
"2011","E00004423","E00004423","Total",122,56,60,6,0,0,72
"2011","E00004401","E00004401","Total",128,50,53,22,2,1,107
"2011","E00004404","E00004404","Total",116,28,59,18,9,2,136
"2011","E00004417","E00004417","Total",125,55,49,15,4,2,100
"2011","E00004421","E00004421","Total",123,48,62,9,3,1,93
"2011","E00004429","E00004429","Total",127,58,56,9,4,0,86
"2011","E00004409","E00004409","Total",108,50,44,12,2,0,74
"2011","E00004410","E00004410","Total",120,61,53,3,2,1,72
"2011","E00004415","E00004415","Total",139,63,60,10,4,2,100
"2011","E00004419","E00004419","Total",126,82,34,7,3,0,57
"2011","E00004422","E00004422","Total",92,50,34,7,1,0,51
"2011","E00004428","E00004428","Total",131,56,71,4,0,0,79
"2011","E00004430","E00004430","Total",125,103,19,3,0,0,25
"2011","E00004402","E00004402","Total",127,59,56,12,0,0,80
"2011","E00004420","E00004420","Total",112,44,50,17,1,0,87
"2011","E00004424","E00004424","Total",117,56,53,7,0,1,73
"2011","E00004425","E00004425","Total",140,47,69,20,4,0,121
"2011","E00004426","E00004426","Total",143,68,55,14,4,2,103
"2011","E00004427","E00004427","Total",117,26,57,24,4,6,161
"2011","E00004403","E00004403","Total",128,17,48,49,10,4,196
"2011","E00004405","E00004405","Total",128,35,63,25,5,0,128
"2011","E00004406","E00004406","Total",117,43,54,18,1,1,97
"2011","E00004407","E00004407","Total",118,24,51,39,4,0,141
"2011","E00004408","E00004408","Total",106,28,49,22,6,1,115
"2011","E00004413","E00004413","Total",101,34,51,11,4,1,90
"2011","E00004483","E00004483","Total",114,40,60,14,0,0,88
"2011","E00004485","E00004485","Total",123,70,45,7,1,0,62
"2011","E00004513","E00004513","Total",102,34,48,16,3,1,94
"2011","E00004514","E00004514","Total",116,39,57,17,3,0,100
"2011","E00004516","E00004516","Total",133,41,71,18,2,1,117
"2011","E00004484","E00004484","Total",112,42,62,7,1,0,79
"2011","E00004488","E00004488","Total",82,45,34,3,0,0,40
"2011","E00004512","E00004512","Total",120,72,38,10,0,0,58
"2011","E00004515","E00004515","Total",121,64,43,13,0,1,74
"2011","E00004518","E00004518","Total",116,72,40,3,1,0,49
"2011","E00004519","E00004519","Total",112,39,66,7,0,0,80
"2011","E00004575","E00004575","Total",184,149,31,4,0,0,39
"2011","E00004578","E00004578","Total",154,109,41,4,0,0,49
"2011","E00004580","E00004580","Total",151,99,47,4,1,0,58
"2011","E00004581","E00004581","Total",101,66,30,2,3,0,43
"2011","E00004582","E00004582","Total",127,71,46,7,2,1,82
"2011","E00004593","E00004593","Total",229,175,48,5,1,0,61
"2011","E00004587","E00004587","Total",121,72,44,5,0,0,54
"2011","E00004589","E00004589","Total",125,63,54,8,0,0,70
"2011","E00004590","E00004590","Total",99,55,38,5,1,0,51
"2011","E00004592","E00004592","Total",99,55,39,5,0,0,49
"2011","E00004595","E00004595","Total",104,56,39,9,0,0,57
"2011","E00004596","E00004596","Total",108,52,50,6,0,0,62
"2011","E00004576","E00004576","Total",140,79,51,10,0,0,71
"2011","E00004577","E00004577","Total",124,65,52,6,1,0,67
"2011","E00004579","E00004579","Total",105,54,42,9,0,0,60
"2011","E00004583","E00004583","Total",142,78,50,12,1,1,82
"2011","E00004584","E00004584","Total",171,105,62,3,0,1,72
"2011","E00004323","E00004323","Total",96,49,40,5,2,0,56
"2011","E00004328","E00004328","Total",95,44,33,18,0,0,69
"2011","E00004353","E00004353","Total",137,29,69,30,8,1,157
"2011","E00004354","E00004354","Total",108,17,54,27,5,5,144
"2011","E00004358","E00004358","Total",114,49,44,12,6,3,99
"2011","E00004324","E00004324","Total",122,46,50,19,4,3,115
"2011","E00004325","E00004325","Total",113,53,51,6,3,0,72
"2011","E00004330","E00004330","Total",146,72,63,11,0,0,85
"2011","E00004355","E00004355","Total",122,56,50,13,3,0,85
"2011","E00004361","E00004361","Total",99,49,33,14,2,1,72
"2011","E00004327","E00004327","Total",140,56,73,10,1,0,96
"2011","E00004329","E00004329","Total",124,66,53,5,0,0,63
"2011","E00004356","E00004356","Total",121,38,57,14,10,2,124
"2011","E00004357","E00004357","Total",118,22,60,32,3,1,137
"2011","E00004360","E00004360","Total",118,39,59,17,3,0,102
"2011","E00004322","E00004322","Total",114,14,49,37,11,3,171
"2011","E00004347","E00004347","Total",97,23,48,21,4,1,106
"2011","E00004348","E00004348","Total",131,67,39,23,2,0,91
"2011","E00004349","E00004349","Total",117,22,41,41,11,2,164
"2011","E00004352","E00004352","Total",118,25,58,27,6,2,138
"2011","E00004345","E00004345","Total",121,7,51,44,16,3,199
"2011","E00004346","E00004346","Total",94,20,53,15,3,3,110
"2011","E00004350","E00004350","Total",125,40,71,12,1,1,102
"2011","E00004351","E00004351","Total",131,30,62,23,6,10,174
"2011","E00004359","E00004359","Total",121,20,57,38,3,3,156
"2011","E00004295","E00004295","Total",175,72,64,29,7,3,155
"2011","E00004296","E00004296","Total",133,72,44,9,8,0,86
"2011","E00004298","E00004298","Total",112,35,46,21,9,1,119
"2011","E00004303","E00004303","Total",113,24,59,24,3,3,132
"2011","E00004311","E00004311","Total",99,29,56,11,3,0,87
"2011","E00004300","E00004300","Total",111,54,46,11,0,0,68
"2011","E00004301","E00004301","Total",241,176,53,12,0,0,77
"2011","E00004302","E00004302","Total",143,94,34,15,0,0,64
"2011","E00004314","E00004314","Total",153,102,39,9,3,0,66
"2011","E00004316","E00004316","Total",122,81,34,7,0,0,48
"2011","E00004319","E00004319","Total",143,87,48,8,0,0,64
"2011","E00004307","E00004307","Total",150,59,67,23,1,0,116
"2011","E00004308","E00004308","Total",123,62,50,8,3,0,75
"2011","E00004312","E00004312","Total",150,64,72,14,0,0,100
"2011","E00004317","E00004317","Total",161,71,72,16,2,0,110
"2011","E00004318","E00004318","Total",126,62,43,19,2,0,87
"2011","E00004305","E00004305","Total",134,52,68,12,2,0,98
"2011","E00004306","E00004306","Total",157,66,80,10,1,0,103
"2011","E00004310","E00004310","Total",128,60,60,8,0,0,76
"2011","E00004313","E00004313","Total",131,65,57,9,0,0,75
"2011","E00004315","E00004315","Total",154,80,65,9,0,0,83
"2011","E00004285","E00004285","Total",144,92,44,7,1,0,61
"2011","E00004297","E00004297","Total",154,85,53,16,0,0,85
"2011","E00004299","E00004299","Total",135,53,65,16,1,0,100
"2011","E00004304","E00004304","Total",178,83,78,12,1,4,121
"2011","E00004309","E00004309","Total",115,41,54,16,3,1,99
"2011","E00004381","E00004381","Total",117,38,63,16,0,0,95
"2011","E00004384","E00004384","Total",101,48,43,9,1,0,64
"2011","E00004385","E00004385","Total",91,39,41,9,2,0,65
"2011","E00004389","E00004389","Total",108,43,47,16,2,0,85
"2011","E00004392","E00004392","Total",95,27,60,8,0,0,76
"2011","E00004394","E00004394","Total",94,61,28,4,1,0,39
"2011","E00004365","E00004365","Total",139,80,51,8,0,0,67
"2011","E00004383","E00004383","Total",103,55,38,7,2,1,62
"2011","E00004387","E00004387","Total",89,45,36,8,0,0,52
"2011","E00004390","E00004390","Total",113,60,42,7,4,0,68
"2011","E00004393","E00004393","Total",113,62,44,7,0,0,58
"2011","E00004395","E00004395","Total",133,83,42,7,1,0,59
"2011","E00004382","E00004382","Total",139,82,42,15,0,0,72
"2011","E00004386","E00004386","Total",101,37,55,7,2,0,75
"2011","E00004388","E00004388","Total",99,56,32,8,3,0,57
"2011","E00004391","E00004391","Total",128,57,57,12,2,0,87
"2011","E00004396","E00004396","Total",131,83,42,4,2,0,56
"2011","E00004398","E00004398","Total",99,58,36,5,0,0,46
"2011","E00004367","E00004367","Total",148,99,45,4,0,0,53
"2011","E00004368","E00004368","Total",175,83,74,18,0,0,110
"2011","E00004372","E00004372","Total",109,59,45,5,0,0,55
"2011","E00004375","E00004375","Total",119,59,53,4,3,0,70
"2011","E00004378","E00004378","Total",137,66,63,6,1,1,83
"2011","E00004379","E00004379","Total",135,60,60,12,3,0,93
"2011","E00004441","E00004441","Total",115,59,51,4,1,0,62
"2011","E00004447","E00004447","Total",77,57,18,2,0,0,22
"2011","E00004451","E00004451","Total",118,45,67,6,0,0,79
"2011","E00004452","E00004452","Total",143,87,50,5,1,0,63
"2011","E00004457","E00004457","Total",117,39,63,11,4,0,97
"2011","E00004480","E00004480","Total",116,70,43,3,0,0,49
"2011","E00004362","E00004362","Total",127,82,39,6,0,0,51
"2011","E00004370","E00004370","Total",117,77,30,8,2,0,52
"2011","E00004376","E00004376","Total",176,115,47,10,4,0,79
"2011","E00004397","E00004397","Total",106,63,39,4,0,0,47
"2011","E00004399","E00004399","Total",131,87,35,8,1,0,54
"2011","E00004363","E00004363","Total",153,105,36,12,0,0,60
"2011","E00004366","E00004366","Total",165,127,32,5,0,1,46
"2011","E00004369","E00004369","Total",123,76,42,5,0,0,52
"2011","E00004373","E00004373","Total",146,92,47,7,0,0,61
"2011","E00004400","E00004400","Total",180,145,34,1,0,0,36
"2011","E00004364","E00004364","Total",225,158,59,6,1,1,78
"2011","E00004371","E00004371","Total",103,81,22,0,0,0,22
"2011","E00004374","E00004374","Total",97,79,16,2,0,0,20
"2011","E00004377","E00004377","Total",95,68,26,1,0,0,28
"2011","E00004380","E00004380","Total",152,122,25,4,0,1,37
"2011","E00004444","E00004444","Total",160,116,42,2,0,0,46
"2011","E00004445","E00004445","Total",105,65,35,5,0,0,45
"2011","E00004454","E00004454","Total",189,138,45,5,1,0,58
"2011","E00004456","E00004456","Total",124,90,33,1,0,0,35
"2011","E00174669","E00174669","Total",125,74,47,4,0,0,55
"2011","E00004563","E00004563","Total",195,137,50,6,0,2,71
"2011","E00004566","E00004566","Total",140,86,50,4,0,0,58
"2011","E00004568","E00004568","Total",157,110,43,3,0,1,69
"2011","E00004569","E00004569","Total",161,95,59,7,0,0,73
"2011","E00004570","E00004570","Total",131,58,65,7,1,0,82
"2011","E00004571","E00004571","Total",151,83,61,7,0,0,75
"2011","E00004572","E00004572","Total",160,91,53,15,1,0,86
"2011","E00004573","E00004573","Total",149,96,47,6,0,0,59
"2011","E00004574","E00004574","Total",143,73,67,3,0,0,73
"2011","E00004321","E00004321","Total",114,40,57,15,2,0,93
"2011","E00004326","E00004326","Total",117,76,29,11,0,1,56
"2011","E00004331","E00004331","Total",112,63,38,9,0,2,64
"2011","E00004336","E00004336","Total",175,101,57,11,6,0,97
"2011","E00004337","E00004337","Total",114,56,44,11,3,0,75
"2011","E00004320","E00004320","Total",112,25,65,18,3,1,114
"2011","E00004333","E00004333","Total",133,61,56,13,2,1,92
"2011","E00004335","E00004335","Total",145,74,57,10,3,1,91
"2011","E00004338","E00004338","Total",112,50,47,13,0,2,82
"2011","E00004341","E00004341","Total",132,75,50,7,0,0,64
"2011","E00004342","E00004342","Total",94,46,38,8,1,1,62
"2011","E00004332","E00004332","Total",87,44,30,9,2,2,62
"2011","E00004334","E00004334","Total",106,52,44,7,3,0,67
"2011","E00004339","E00004339","Total",112,68,39,4,1,0,50
"2011","E00004340","E00004340","Total",95,73,18,4,0,0,26
"2011","E00004343","E00004343","Total",120,70,42,7,1,0,59
"2011","E00004344","E00004344","Total",118,85,27,5,1,0,40
"2011","E00004431","E00004431","Total",106,27,59,19,0,1,101
"2011","E00004432","E00004432","Total",135,60,59,14,2,0,93
"2011","E00004433","E00004433","Total",139,54,64,17,2,2,116
"2011","E00004437","E00004437","Total",116,39,56,16,3,2,105
"2011","E00004439","E00004439","Total",113,36,52,20,3,2,109
"2011","E00004440","E00004440","Total",112,52,50,8,2,0,72
"2011","E00004435","E00004435","Total",119,81,34,4,0,0,42
"2011","E00004436","E00004436","Total",166,83,62,15,6,0,110
"2011","E00004438","E00004438","Total",118,77,37,4,0,0,45
"2011","E00174668","E00174668","Total",108,67,29,12,0,0,53
"2011","E00174670","E00174670","Total",107,62,37,8,0,0,53
"2011","E00174672","E00174672","Total",141,107,30,3,1,0,39
"2011","E00174673","E00174673","Total",91,84,5,2,0,0,9
"2011","E00004245","E00004245","Total",163,94,62,6,0,1,78
"2011","E00004247","E00004247","Total",156,102,48,6,0,0,60
"2011","E00004248","E00004248","Total",207,142,59,6,0,0,71
"2011","E00004254","E00004254","Total",119,81,29,8,1,0,48
"2011","E00004273","E00004273","Total",159,83,60,15,1,0,93
"2011","E00004276","E00004276","Total",122,74,40,7,1,0,57
"2011","E00004265","E00004265","Total",112,78,32,2,0,0,36
"2011","E00004266","E00004266","Total",156,96,57,3,0,0,63
"2011","E00004268","E00004268","Total",142,91,45,6,0,0,57
"2011","E00004269","E00004269","Total",121,87,29,5,0,0,39
"2011","E00004272","E00004272","Total",113,46,56,10,1,0,79
"2011","E00004274","E00004274","Total",130,59,63,5,3,0,82
"2011","E00004585","E00004585","Total",134,81,49,4,0,0,57
"2011","E00004586","E00004586","Total",116,49,54,10,1,2,85
"2011","E00004588","E00004588","Total",154,99,47,8,0,0,63
"2011","E00004594","E00004594","Total",124,76,48,0,0,0,48
"2011","E00004598","E00004598","Total",106,59,42,5,0,0,52
"2011","E00004599","E00004599","Total",161,113,41,5,1,1,58
"2011","E00004565","E00004565","Total",145,116,28,1,0,0,30
"2011","E00004591","E00004591","Total",112,76,32,3,1,0,41
"2011","E00004600","E00004600","Total",124,88,33,3,0,0,39
"2011","E00004601","E00004601","Total",117,68,42,6,1,0,57
"2011","E00004603","E00004603","Total",131,95,31,4,1,0,42
"2011","E00004562","E00004562","Total",123,84,35,4,0,0,43
"2011","E00004564","E00004564","Total",118,81,30,5,1,1,47
"2011","E00004567","E00004567","Total",128,70,53,5,0,0,63
"2011","E00004597","E00004597","Total",214,136,72,5,1,0,85
"2011","E00004602","E00004602","Total",115,75,36,3,0,1,52
"2011","E00004813","E00004813","Total",174,75,76,21,2,0,124
"2011","E00004820","E00004820","Total",136,79,50,7,0,0,64
"2011","E00004848","E00004848","Total",159,105,39,12,3,0,72
"2011","E00004849","E00004849","Total",138,61,66,9,2,0,90
"2011","E00004850","E00004850","Total",203,98,82,20,3,0,131
"2011","E00004853","E00004853","Total",144,90,49,2,2,1,64
"2011","E00004814","E00004814","Total",124,65,51,8,0,0,67
"2011","E00004818","E00004818","Total",138,99,33,6,0,0,45
"2011","E00004821","E00004821","Total",109,61,42,6,0,0,54
"2011","E00004824","E00004824","Total",130,87,38,5,0,0,48
"2011","E00004825","E00004825","Total",110,62,38,10,0,0,58
"2011","E00004826","E00004826","Total",125,82,39,2,2,0,49
"2011","E00004851","E00004851","Total",95,55,35,5,0,0,45
"2011","E00004816","E00004816","Total",131,74,44,8,4,1,77
"2011","E00004817","E00004817","Total",112,50,53,5,3,1,76
"2011","E00004819","E00004819","Total",138,56,67,13,1,1,100
"2011","E00004822","E00004822","Total",130,58,58,8,5,1,93
"2011","E00004852","E00004852","Total",138,61,65,10,2,0,91
"2011","E00004815","E00004815","Total",242,185,49,7,1,0,66
"2011","E00004823","E00004823","Total",180,98,74,7,1,0,91
"2011","E00004827","E00004827","Total",168,107,55,6,0,0,67
"2011","E00004828","E00004828","Total",133,89,32,10,2,0,58
"2011","E00004829","E00004829","Total",109,72,32,5,0,0,42
"2011","E00004831","E00004831","Total",117,83,32,2,0,0,36
"2011","E00004830","E00004830","Total",139,85,50,4,0,0,58
"2011","E00004832","E00004832","Total",147,92,46,7,2,0,66
"2011","E00004835","E00004835","Total",167,109,48,9,1,0,69
"2011","E00004837","E00004837","Total",191,121,60,10,0,0,80
"2011","E00004840","E00004840","Total",117,80,31,5,1,0,44
"2011","E00004841","E00004841","Total",133,75,48,10,0,0,68
"2011","E00004120","E00004120","Total",143,71,56,15,1,0,89
"2011","E00004140","E00004140","Total",111,47,54,8,2,0,76
"2011","E00004141","E00004141","Total",114,69,38,6,0,1,54
"2011","E00004142","E00004142","Total",133,70,61,0,2,0,67
"2011","E00004145","E00004145","Total",110,58,42,8,2,0,64
"2011","E00004152","E00004152","Total",113,38,56,15,4,0,98
"2011","E00004121","E00004121","Total",118,52,50,14,2,0,84
"2011","E00004143","E00004143","Total",126,70,44,11,1,0,69
"2011","E00004150","E00004150","Total",147,90,46,9,2,0,70
"2011","E00004154","E00004154","Total",122,59,48,14,0,1,89
"2011","E00004155","E00004155","Total",103,39,50,14,0,0,78
"2011","E00004156","E00004156","Total",126,72,40,13,0,1,70
"2011","E00004162","E00004162","Total",128,82,40,6,0,0,52
"2011","E00004126","E00004126","Total",144,78,56,8,1,1,79
"2011","E00004128","E00004128","Total",161,74,81,5,1,0,94
"2011","E00004129","E00004129","Total",142,83,51,6,2,0,69
"2011","E00004131","E00004131","Total",119,40,64,14,1,0,95
"2011","E00004132","E00004132","Total",92,40,44,8,0,0,60
"2011","E00004137","E00004137","Total",147,81,54,12,0,0,78
"2011","E00004124","E00004124","Total",100,53,41,3,2,1,58
"2011","E00004125","E00004125","Total",178,135,38,5,0,0,48
"2011","E00004127","E00004127","Total",124,78,41,5,0,0,51
"2011","E00004130","E00004130","Total",128,82,40,6,0,0,52
"2011","E00004133","E00004133","Total",118,72,35,10,1,0,58
"2011","E00004135","E00004135","Total",105,78,24,3,0,0,30
"2011","E00004168","E00004168","Total",109,50,54,4,1,0,65
"2011","E00004448","E00004448","Total",142,101,37,4,0,0,45
"2011","E00004450","E00004450","Total",175,126,39,9,1,0,60
"2011","E00004453","E00004453","Total",144,88,45,11,0,0,67
"2011","E00004458","E00004458","Total",182,118,55,7,2,0,75
"2011","E00004462","E00004462","Total",114,61,45,7,0,1,68
"2011","E00004442","E00004442","Total",109,77,28,4,0,0,36
"2011","E00004446","E00004446","Total",118,71,41,6,0,0,53
"2011","E00004455","E00004455","Total",123,96,24,3,0,0,30
"2011","E00004460","E00004460","Total",100,74,20,5,1,0,33
"2011","E00004470","E00004470","Total",140,80,51,8,1,0,70
"2011","E00004465","E00004465","Total",166,99,62,5,0,0,72
"2011","E00004467","E00004467","Total",133,90,38,4,1,0,49
"2011","E00004474","E00004474","Total",142,64,64,14,0,0,92
"2011","E00004475","E00004475","Total",123,86,33,4,0,0,41
"2011","E00004476","E00004476","Total",134,97,33,3,1,0,42
"2011","E00004478","E00004478","Total",220,164,52,4,0,0,60
"2011","E00004459","E00004459","Total",154,118,34,2,0,0,38
"2011","E00004461","E00004461","Total",131,93,33,5,0,0,43
"2011","E00004463","E00004463","Total",139,98,36,4,1,0,47
"2011","E00004464","E00004464","Total",89,80,8,0,0,1,12
"2011","E00004468","E00004468","Total",143,87,48,8,0,0,64
"2011","E00004472","E00004472","Total",156,105,41,9,1,0,62
"2011","E00004466","E00004466","Total",121,72,45,4,0,0,53
"2011","E00004469","E00004469","Total",122,49,60,9,3,1,91
"2011","E00004471","E00004471","Total",117,61,47,7,0,2,71
"2011","E00004473","E00004473","Total",124,54,49,16,5,0,96
"2011","E00004477","E00004477","Total",163,94,58,5,5,1,87
"2011","E00004479","E00004479","Total",141,88,42,11,0,0,64
"2011","E00004282","E00004282","Total",149,92,42,15,0,0,72
"2011","E00004284","E00004284","Total",128,65,60,3,0,0,66
"2011","E00004286","E00004286","Total",158,123,33,1,1,0,38
"2011","E00004287","E00004287","Total",111,73,36,1,1,0,41
"2011","E00004289","E00004289","Total",129,93,32,2,1,1,43
"2011","E00004290","E00004290","Total",164,111,37,11,0,5,84
"2011","E00004283","E00004283","Total",137,75,48,12,1,1,80
"2011","E00004288","E00004288","Total",166,110,48,8,0,0,64
"2011","E00004291","E00004291","Total",138,87,47,4,0,0,55
"2011","E00004292","E00004292","Total",121,80,37,4,0,0,45
"2011","E00004293","E00004293","Total",119,72,47,0,0,0,47
"2011","E00004294","E00004294","Total",119,95,23,1,0,0,25
"2011","E00004604","E00004604","Total",136,102,30,4,0,0,38
"2011","E00004605","E00004605","Total",113,64,41,8,0,0,57
"2011","E00004612","E00004612","Total",142,105,35,2,0,0,39
"2011","E00004613","E00004613","Total",125,95,28,2,0,0,32
"2011","E00004614","E00004614","Total",224,164,53,7,0,0,67
"2011","E00004621","E00004621","Total",133,82,42,8,1,0,61
"2011","E00004615","E00004615","Total",102,55,42,4,0,1,56
"2011","E00004616","E00004616","Total",133,85,41,7,0,0,55
"2011","E00004617","E00004617","Total",114,68,41,4,0,1,53
"2011","E00004618","E00004618","Total",125,84,36,4,1,0,47
"2011","E00004619","E00004619","Total",123,94,27,2,0,0,31
"2011","E00004620","E00004620","Total",141,103,35,3,0,0,41
"2011","E00004622","E00004622","Total",209,129,67,12,0,1,95
"2011","E00004833","E00004833","Total",156,112,35,6,3,0,56
"2011","E00004834","E00004834","Total",185,108,71,4,2,0,85
"2011","E00004836","E00004836","Total",171,109,55,5,2,0,71
"2011","E00004838","E00004838","Total",131,88,38,5,0,0,48
"2011","E00004839","E00004839","Total",178,116,49,12,1,0,76
"2011","E00004134","E00004134","Total",100,48,41,10,1,0,64
"2011","E00004136","E00004136","Total",110,54,45,9,0,2,75
"2011","E00004138","E00004138","Total",142,91,46,5,0,0,56
"2011","E00004139","E00004139","Total",140,120,20,0,0,0,20
"2011","E00004144","E00004144","Total",102,43,52,7,0,0,66
"2011","E00004146","E00004146","Total",126,64,57,5,0,0,67
"2011","E00004147","E00004147","Total",126,66,53,4,2,1,71
"2011","E00004148","E00004148","Total",106,48,47,9,2,0,71
"2011","E00004149","E00004149","Total",149,51,77,16,5,0,124
"2011","E00004151","E00004151","Total",148,83,55,7,1,2,80
"2011","E00004153","E00004153","Total",108,59,43,5,1,0,56
"2011","E00004158","E00004158","Total",124,67,54,2,1,0,61
"2011","E00004161","E00004161","Total",96,42,37,14,1,2,76
"2011","E00004157","E00004157","Total",94,35,47,10,2,0,73
"2011","E00004159","E00004159","Total",160,103,49,7,1,0,66
"2011","E00004160","E00004160","Total",103,66,32,5,0,0,42
"2011","E00004164","E00004164","Total",160,112,38,9,1,0,59
"2011","E00004167","E00004167","Total",99,16,56,15,11,1,123
"2011","E00004122","E00004122","Total",103,38,44,20,0,1,92
"2011","E00004123","E00004123","Total",108,17,49,31,9,2,146
"2011","E00004163","E00004163","Total",163,68,77,13,3,2,120
"2011","E00004165","E00004165","Total",146,94,42,8,1,1,67
"2011","E00004166","E00004166","Total",157,108,43,3,1,2,60
"2011","E00004249","E00004249","Total",114,61,43,8,2,0,65
"2011","E00004252","E00004252","Total",115,60,47,8,0,0,63
"2011","E00004255","E00004255","Total",128,79,43,3,3,0,58
"2011","E00004258","E00004258","Total",111,66,34,8,3,0,59
"2011","E00004279","E00004279","Total",134,95,32,7,0,0,46
"2011","E00004281","E00004281","Total",115,64,47,4,0,0,55
"2011","E00004246","E00004246","Total",121,74,40,5,2,0,56
"2011","E00004250","E00004250","Total",127,74,49,4,0,0,57
"2011","E00004251","E00004251","Total",95,45,36,11,2,1,69
"2011","E00004280","E00004280","Total",108,59,41,7,1,0,58
"2011","E00004253","E00004253","Total",132,91,34,5,2,0,50
"2011","E00004256","E00004256","Total",149,99,42,7,1,0,59
"2011","E00004259","E00004259","Total",104,71,32,1,0,0,34
"2011","E00004261","E00004261","Total",114,86,26,2,0,0,30
"2011","E00004264","E00004264","Total",176,142,28,5,1,0,41
"2011","E00004244","E00004244","Total",100,57,37,6,0,0,49
"2011","E00004257","E00004257","Total",113,67,41,4,1,0,52
"2011","E00004260","E00004260","Total",136,102,34,0,0,0,34
"2011","E00004262","E00004262","Total",114,76,37,1,0,0,39
"2011","E00004263","E00004263","Total",121,70,44,4,3,0,61
"2011","E00004270","E00004270","Total",189,145,40,4,0,0,48
"2011","E00004271","E00004271","Total",142,89,48,5,0,0,58
"2011","E00004275","E00004275","Total",104,70,28,5,0,1,42
"2011","E00004277","E00004277","Total",135,69,61,5,0,0,71
"2011","E00004278","E00004278","Total",102,60,39,3,0,0,45
"2011","E00174656","E00174656","Total",115,75,29,10,1,0,52
"2011","E00174657","E00174657","Total",100,49,37,11,3,0,68
"2011","E00174658","E00174658","Total",80,42,35,1,1,1,44
"2011","E00004776","E00004776","Total",138,77,55,6,0,0,67
"2011","E00004798","E00004798","Total",111,46,55,10,0,0,75
"2011","E00004799","E00004799","Total",142,73,56,12,1,0,83
"2011","E00004801","E00004801","Total",133,69,50,11,3,0,81
"2011","E00004802","E00004802","Total",108,62,43,3,0,0,49
"2011","E00004804","E00004804","Total",113,63,44,5,1,0,57
"2011","E00004785","E00004785","Total",123,82,36,5,0,0,46
"2011","E00004787","E00004787","Total",145,76,56,12,1,0,83
"2011","E00004791","E00004791","Total",106,60,36,10,0,0,56
"2011","E00004792","E00004792","Total",117,52,53,10,1,1,81
"2011","E00004793","E00004793","Total",121,55,59,6,1,0,74
"2011","E00004795","E00004795","Total",101,49,44,7,1,0,61
"2011","E00004766","E00004766","Total",121,62,50,5,4,0,72
"2011","E00004767","E00004767","Total",142,66,58,14,3,1,100
"2011","E00004769","E00004769","Total",151,76,66,7,2,0,86
"2011","E00004774","E00004774","Total",108,53,49,5,1,0,62
"2011","E00004803","E00004803","Total",82,58,21,2,1,0,28
"2011","E00004812","E00004812","Total",160,104,46,9,1,0,67
"2011","E00004768","E00004768","Total",99,41,47,8,1,2,74
"2011","E00004770","E00004770","Total",91,28,44,12,6,1,90
"2011","E00004775","E00004775","Total",113,39,55,13,6,0,99
